"","full_name","position","overview","pros","cons"
"1","Mitchell Trubisky","Quarterback","Despite being a one-year starter, Trubisky is very polished as a passer playing with good balance and consistent mechanics, which leads him to throw with great accuracy in the short/intermediate passing game. Although he comes from a version of the spread in his college offense, he was asked to do manyfull field progressions and showed he can click from receiver to receiver quickly and efficiently. Has very good pocket instincts and ability to keep eye level up to see receivers down the field while moving within the pocket. His three-quarters release may lead to more batted balls at the LOS but is likely not a huge issue at the next level. Will need to work on hitting his deep shots with more consistent accuracy to keep defenses from sitting at the break point. Shows all of the tools to develop into a very solid NFL starting quarterback and appears to be the safest option of the 2017 quarterback draft class.","Compact, accurate, quick arm with a three-quarters release. Quick release allows him to get rid of the ball even when under heavy pressure. Polished passer with consistent footwork and mechanics. Athletic within and outside the pocket. Very accurate throwing on the move. Anticipates well on timing routes as well as windows in zone coverage. Quick-minded and reacts quickly from the time he sees it to time of release. Discipline with his reads and shows ability to scan the field in full field progressions. Natural feel and instincts in the pocket. Consistently accurate ball placement in the short passing game maximizing catch and run opportunities. Has the arm to drive the ball outside the numbers. Consistently hits the “cover-2” hole in between the cornerback and the safety, much more often than most college quarterbacks. Values the ball and is a good decision maker.","One-year starter with limited amount of game tape. Inconsistent deep ball touch. Ball hangs and forces receivers to adjust too often. Poor blitz recognition at times leaving him surprised where defenders are coming from post snap. Feet/mind can start to move too quickly under pressure leading to inaccuracies. Can get stuck on the spot in the pocket with feet bouncing instead of pushing up in the pocket. Will overstride getting too long resulting in lost power at times when needing to drive the ball downfield. 50.0"
"2","Deshaun Watson","Quarterback","Watson is as tough of a prospect to evaluate as there is coming out of college. While he shows flashes with his arm, he is wildly inconsistent and lacks the key traits (pocket instincts/poise and field vision).He will need to play in an offense specifically built around him with a quarterback run game and pass- game scheme creativity. There will be games when the coverage structures will be simple and the route concepts will match up with the route combinations, and he will have success. Then there will be games where the defensive movement will give him problems or the pass rush will force him to move within the pocket and get through progressions, and he will struggle mightily. Watson is not a pure progression INT passer, with his limited pocket feel and vision, and whenever that’s the case, there will be a huge risk","Smooth, efficient delivery. Throws a very catchable ball. Displays a complete inventory of passes with zip, firm with touch. Changes the pace of the ball well when needed. Extremely athletic with the ability to escape when things break down. Good initial burst. True timing/rhythm passer, heavily reliant on pre-snap reads. Throws cover-3 and cover-2 seams very well. Best “glance” route thrower in the class. Anticipates well on timing routes outside the numbers. Flashes good go-ball touch. Good feel for back-shoulder throws to big-bodied receivers. Delivers in big moments. Confident player.","Limited instincts/feel in the pocket. Does not react smoothly when initial read is not there. Lacks consistent pocket poise, drops eyes down for a running lane instead of creating within the pocket. Played in an offense where the field was cut in half with simple reads. Field looks small to him; limited vision to get through progressions. Relatively slow post-snap processing speed. More interested in taking a yes/no go-ball on the outside than reading out the concept of the play. Overall not as accurate as he should be considering his style of play. Inaccurate on many easy throws 70.0 in the short passing game. Played with elite playmakers around him, will have to learn how to function without big-play receivers 40.0 on the outside."
"3","Patrick Mahomes Ii","Quarterback","Mahomes is as interesting as a prospect as there is at quarterback that comes with high risk/high reward. His arm is as good as any quarterback in the playing right now. The natural passing instincts as far as sliding and feeling pass-rushers in the pocket, to seeing in front of the throw and 40 adjusting to the type of throw needed, is special. His lack of discipline in the pocket with footwork, 30 bailing on clean pockets, and decision making is a big concern. Some of the bailing on pockets can be attributed to how much “rush three drop eight into coverage” he saw, which can lead to playing outside 0 of structure to find passing lanes more often. Coming from a system with everything so spread out and defined passing lanes, there will be an adjustment period needed for the game and seeingtighter throwing lanes. Mahomes is not likely a Day 1 starter in the NFL but is certainly worth a first-round selection as a potential big hit as a franchise quarterback.","Smooth, whip release with power and touch. Arm is special and may define the term “arm talent.” Can make any throw with accuracy and power to and level/area of the field, from every type of platform and arm angle. Incredibly instinctive, intuitive player with a good feel for passing game. Athletic in the pocket with ability to make rushers miss, or shed with strength. Anticipates well. Time from locating receiver to ball out of his hand is extremely quick. Overall has good vision and ability to see multiple defenders in his reads. Poise to make any throw no matter what the chaos is around him in the pocket. Plays outside of the structure of the offense as well as anyone in the NFL does right now. Gritty playmaker. Wants the ball in his hands and delivers when his team needs it most.","Plays undisciplined too often. Inconsistent footwork, loses his base but tends to make up for it with his arm. Tendency to drift in the pocket in all directions when it’s not necessary. Bad habit of breaking from clean pockets too early when the pass rush dictates him to stay in there. Forces too many throws and tries for the hero play too often. Steep learning curve coming from the Texas Tech spread/wide open system."
"4","Deshone Kizer","Quarterback","After an impressive Week 1 in which he littered the field with throws, Kizer received No. 1 overall 40 hype though the rest of the season was filled with ups and downs. While he certainly didn’t get much help from a young receiving core and a musical-chairs quarterback controversy, there were many times you expected Kizer to pull his team through to get a win and he failed to do so. Kizer’s traits are as good 0 as any quarterback in the 2017 class, but the inconsistencies with accuracy and decision-making leave a lot of question marks of how he will translate to the next level. The natural instincts for the position andpure arm talent are there, with a coach likely to see those uncoachable traits that and try make him into the player he has the potential to be.","Big-bodied, prototypical size and stature. Pure and smooth over the top release. Power to push the ball to each level with relative ease. Athletic player in the pocket and shows good mobility to pick up yards with his legs. Good pocket poise with a willingness to stand in there and take a hit to make throws. Instinctive in the pocket with the ability to evade defenders and maintain eyes downfield to get through progressions. Understands how to tempo the ball and throw with arc and pace up and over defenders. Shows he can scan the entire field with pure progression reads. Deep ball arm talent is on par with some of the best in the NFL.","Sloppy footwork/mechanics far too often throughout the course of a game. Struggles with short area accuracy at times. Inconsistent decision-maker late in games. Inconsistent with anticipation – more of a see it, throw it player. Hesitant and doesn’t always trust what he sees. Had a chance to either tie or win the game with the ball in his hand in six games this season and failed to convert. Takes too many sacks in the pocket. We charged him with nine sacks in 2016 and 10 sacks in 2015 (charged his offensive line with only seven that season."
"5","Nathan Peterman","Quarterback","Peterman has seen his stock rise the more people find out about him. He is a very solid, steady player with a limited ceiling – but shows a great understanding of the passing game. His arm is just , but with his ability to see the field clearly and work through progressions combined with his natural feel in the pocket, he has a chance to develop into a middle of the road starter. He played in a system with a 50 lot of jet sweep gimmicks, but has experience under center and working full field progressions in both 40 the drop back and play action pass game. Peterman can step in and be a backup on most teams right now, with the hopes there can be tweaks with a few things mechanically and as he gets older to gain more strength in his arm.","Not necessarily a pure/smooth thrower, but possesses a quick release. Consistent footwork. Plays with a good base in control and throws on balance. Great understanding of defensive recognition and where to go with the ball with the given passing scheme. Good ball placement on short/intermediate timing routes. Anticipates windows in zone very well. Sees the field clearly. Consistently shows the ability to get through progressions, eliminating a read quickly and moving on to the next with relative ease. Great overall feel and discipline in the pocket. Athletic within the pocket and can burst to pick up key third downs with his legs.","Arm is limited. Doesn’t possess natural power to drive the ball. Needs to coil up to gain zip. Ball tends to finish low on the receiver the further down the field you get. Lacks pocket poise at times tending to bail out right when unnecessary. Feet can get a little frenetic when facing pressure. Inconsistent decision making outside of the pocket or late in the down at times."
"6","Davis Webb","Quarterback","Webb’s overall arm talent is intriguing. When throwing in rhythm vs. defined coverage looks, he is 100 accurate and has every throw in the book. His touch on fades and go routes is very good, and knows 90 how to pace the ball up and over defenders. When things don’t go as planned either with pressure or defensive movement his game takes a drastic change. His feet and mind get sped up and his ball placement suffers. He can be late to recognize coverage and try to make up for it with his arm, resulting in poor decisions. The learning curve from his offense at Cal will be steep. Overall Webb is a 40 developmental quarterback with a chance to be a backup down the road.","Very natural passer, whiplike release. Arm has a lot of pop even when his feet aren’t exactly right. Drives the ball well outside the numbers and windows in the intermediate part of the field. Good accuracy to each part of field when he’s in rhythm and confident where to go with the ball. Shows good touch on fade and go routes. At his best with coverage defined looks and reads.","Forces a lot of throws/inconsistent vision to see in front of the throw. Inconsistent seeing post-snap movement. Hangs in the pocket but feet will get jumpy and can look uncomfortable. Average pocket instincts and pocket poise. Feet are bouncy in the pocket with a narrow base. Drifts backwards in the pocket too often. Does not anticipate well and relies too much on arm to make up for it when he’s late. Left far too many deep passes short in one-on-one situations."
"7","C.j. Beathard",NA,"Beathard’s arm is very good, as he can make the majority of throws. He is a fastball thrower, with little to no finesse in his game of being a true passer. When he is playing in rhythm and knows where to go with the ball, he delivers on time and accurately. Certain throws required to throw up and over defenders he struggles with, as he needs a clear lane to throw through. The biggest questions come with his feel in the pocket and ability to see the field clearly to consistently get through reads, as well as decision-making particularly late in the down. Beathard’s arm and overall game is enough to warrant a late-round selection and a chance to develop as a third-string .","Fluid quick release with a natural whip arm. Arm is powerful with consistent zip at each level of the field. Athletic enough to evade defenders in the pocket and pick up valuable yards with his legs, tough runner. Good understanding of timing routes and anticipates well outside the numbers. When playing within the structure of the offense can be very efficient. Shows the ability to throw guys open in tight man-to-man coverage. Experience taking drops and diagnosing defenses from under center. Has flashed ability to work through pro-type passing progressions.","Questionable touch, flat ball thrower. Throws off balance too often (falls back and left) leading to accuracy issues. Very limited with his feel in the pocket and vision is inconsistent to work through progressions consistently. When forced to reset to second or third read, accuracy dips quite a bit. Doesn’t look comfortable making plays outside the scheme. Good fair amount of “pick and stick” to his game. Questionable decision-making late in the down. Tries to make too much happen and forces a good amount of throws. Questions if he can change speeds on the ball or if everything is a fastball."
"8","Nick Mullens",NA,"Mullens is a very solid and productive college player. His lack of size and arm strength are two major concerns in his transition to the . For what he lacks in size in arm strength, he makes up for with his accuracy, pocket poise, and ability to work through progressions and see the game clearly. Although he comes from a spread wide open offense, Mullens can play the game – and worthy of either a late round selection or with a chance to make a practice squad and develop.","Smooth, efficient release. Natural passer. Consistently throws on balance and shows proper footwork for the given route combination. Good accuracy to each level of the field but excels in quick game and intermediate routes in the middle of the field. Anticipates throws in zone windows very well. Good overall feel for the passing game and the type of throw needed. Shows great touch. Will stand in the pocket and shows good poise when the pocket closes in. Processes well post snap. Shows ability to eliminate a read quickly and move on to the next with poise. Good overall understanding of defensive structures and where to go with the ball.","Small build and stature is worrisome. Ball speed lacks the further down the field you get. Will force throws into tight windows that he can’t make. Not overly athletic and lacks quickness to escape pressure and make plays outside the structure of the offense given his size. Struggled throwing accurately when pressured."
"9","Dane Evans",NA,"Evans is a strong-armed thrower capable of getting hot and making a lot of plays with his arm. At this point he is more of a thrower than a passer and needs to develop different ball speeds to further his game. He lacks consistent touch at the intermediate and deep levels of the field. If a coach feels they can tighten up his mechanics and develop other parts of his game he warrants an deal with a chance to prove he can make a practice squad.","Possesses a very strong, whip arm. Throws with confidence. Good zip and ball placement on outside the numbers, timing throws. Flashes the ability to throw with anticipation. Athletic player with good escapability. Mostly makes plays with his legs when things break down. Can deliver strikes in tight windows in zone coverage. Throws in-breaking routes well. Most effective when staying in rhythm with the quick/intermediate timing based route concepts.","Questionable touch, virtually everything is a fastball. More of a thrower than a passer. Very inconsistent post-snap processing and defensive recognition. A lot of pre-determined reads. Locks on to initial read and struggles to smoothly get to the next receiver in the progression. First instinct is to find a running lane when affected by pressure or the route concept gets covered up Operated in an offense centered around run/pass options and half field, single defender reads."
"10","Dalvin Cook","Back","Cook’s big-play ability makes him a special player. When given a hole, he can take it to the house,and even when his blocking isn’t good, he has the ability to maximize what is there. Cook’s fumbling problems, like his hamstring, flares up too frequently, so there are some concerns. Despite those issues, Cook’s name will still be called early because of his prodigious potential.","Outstanding vision, patience to allow blocks to develop playside but also decisive when presented with backside opportunities Breaks long runs in spite of his blocking. Home run waiting to happen Great fit in an outside zone scheme, best using his instincts to pick lanes and athleticism on the move Elite acceleration ensures consistent big-play potential Sufficient long speed to outrun defenders. Angle-changing speed Able to make defenders miss at full speed, finished tops in elusive rating Aggressive north/south runner, rarely looks to bounce plays outside Not always searching for big play. Rarely takes losses, keeps the offense ahead of the chains Even behind subpar run-blocking in 2016, made the most of it and showed the ability to take what is given","Ball security – fumbled 14 times in 763 touches Failed to dominate as receiver out of backfield, although inhibited by scheme Ran a limited number of routes Didn’t always display the best hands, although improved as a junior Suffered nagging muscular injuries throughout his career at FSU"
