"","url","title","h1","player_from_title","date","where_he_wins","areas_of_improvement","grade_block","measurables_block","article_grade","comparable_grade","overall_rank","position_rank","pro_comparison","height","weight","hand_size","arm_length","wingspan","dash40","split10","vertical","broad","cone3","shuttle","bench"
"1","https://bleacherreport.com/articles/25248468-nfl-draft-2026-scouting-report-ohio-state-s-caleb-downs","NFL Draft 2026 Scouting Report for Ohio State S Caleb Downs","NFL Draft 2026 Scouting Report for Ohio State S Caleb Downs","Caleb Downs",NA,"— Understands how best to use his abilities with body positioning and physicality. | — Sees route concepts unfold and matches them with the quarterback's eyes to break on routes. | — A great communicator in the secondary when it comes to passing of routes and lining up the defense. | — Versatile skillset to succeed wherever a defense needs him, making him the ultimate chess piece. | — Athleticism to smoothly transition from zone to running in man coverage and changing direction. | — Quick to trigger on run plays downhill and create negative plays for the offense. | —Will be one of the smartest players on the field each and every time he steps on it.","— Will get locked into man coverage at times and plays the receiver instead of looking for the football. | — Adjusting pursuit angles and running through tackles to not fall to the ball carrier's ankles. | — Show more from a single-high skillset with speed and range moving backward. The instincts are there, but seeing more proof of concept would help.",".css-1582m2i{margin:0;font:inherit;font-weight:700;}GRADE: 9.2 (Pro Bowl Player — 1st Round) | COMPARABLE GRADE: CB Travis Hunter, Colorado (9.2 in 2025), Kyle Hamilton, S, Notre Dame (8.9 in 2022) | OVERALL RANK: 1 | POSITION RANK: S1 | PRO COMPARISON: Eric Berry","Height: 5'11⅝"" Weight: 206 Hand Size: 9½"" Arm Length: 30¼"" Wingspan: 73¼"" | 40-Yard Dash: N/A 10-Yard Split: N/A Vertical: N/A Broad: N/A 3-Cone: N/A Shuttle: N/A Bench: N/A","9.2 (Pro Bowl Player — 1st Round)","CB Travis Hunter, Colorado (9.2 in 2025), Kyle Hamilton, S, Notre Dame (8.9 in 2022)","1","S1","Eric Berry","5'11⅝"" Weight: 206 Hand Size: 9½"" Arm Length: 30¼"" Wingspan: 73¼""","206 Hand Size: 9½"" Arm Length: 30¼"" Wingspan: 73¼""","9½"" Arm Length: 30¼"" Wingspan: 73¼""","30¼"" Wingspan: 73¼""","73¼""","N/A 10-Yard Split: N/A Vertical: N/A Broad: N/A 3-Cone: N/A Shuttle: N/A Bench: N/A","N/A Vertical: N/A Broad: N/A 3-Cone: N/A Shuttle: N/A Bench: N/A","N/A Broad: N/A 3-Cone: N/A Shuttle: N/A Bench: N/A","N/A 3-Cone: N/A Shuttle: N/A Bench: N/A","N/A Shuttle: N/A Bench: N/A","N/A Bench: N/A","N/A"
"2","https://bleacherreport.com/articles/25249523-nfl-draft-2026-scouting-report-miami-edge-rueben-bain-jr","NFL Draft 2026 Scouting Report for Miami Edge Rueben Bain Jr.","NFL Draft 2026 Scouting Report for Miami Edge Rueben Bain Jr.","Rueben Bain Jr.",NA,"- Good size with an NFL-ready body. Doesn't carry much bad weight and has a thick lower half. | - Good quickness for his size and impressive movement skills. | - Strong and physical at the point of attack to gain control of the block and set the edge against offensive tackles. Also, Bain is solid at holding ground against combo blocks from tackles and tight ends. | - Has shown the ability to shed blocks from offensive linemen and make tackles near the line of scrimmage. | - Can collapse the pocket when bull rushing and has impressive change-of-direction skills to be effective when turning speed to power. | - Flashed decent rip and cross-chop moves as secondary move options. Also, he has the athleticism to be an effective looper in line games. | - Good bend at the top of the rush to take efficient paths to the quarterback.","- Lacks some explosion off the line to win with speed around the edge as a pass-rusher at the next level. | - Timing/consistency with his hands when rushing the quarterback is a work in progress. Bain is often late and doesn't play the hands well after contact. | - Isn't gap disciplined against the run. He has a habit of leaving his assignment/gap early and can lose outside contain when setting the edge. He likes to gamble to make plays and can get burned by running backs who are good at setting defenders up on zone runs. | - Very short arms for an NFL edge defender. | Grade, Rank, and Pro Comparison | .css-1582m2i{margin:0;font:inherit;font-weight:700;}GRADE: 8.5 (Impact Player — 1st Round) | COMPARABLE GRADE: Nolan Smith, Georgia (8.3 in 2023), Dallas Turner, Alabama (8.4 in 2024), Laiatu Latu, UCLA (8.4 in 2024) | OVERALL RANK: 5 | POSITION RANK: EDGE1 | PRO COMPARISON: Brandon Graham",NA,"Height: 6'2"" Weight: 263 Hand: 9⅛"" Arm: 30⅞"" Wing: 79½"" | 40-Yard Dash: N/A10-Yard Split: N/A 3-Cone: N/A Shuttle: N/A Vertical: N/ABroad: N/A","8.5 (Impact Player — 1st Round)","Nolan Smith, Georgia (8.3 in 2023), Dallas Turner, Alabama (8.4 in 2024), Laiatu Latu, UCLA (8.4 in 2024)","5","EDGE1","Brandon Graham","6'2"" Weight: 263 Hand: 9⅛"" Arm: 30⅞"" Wing: 79½""","263 Hand: 9⅛"" Arm: 30⅞"" Wing: 79½""",NA,NA,NA,"N/A10-Yard Split: N/A 3-Cone: N/A Shuttle: N/A Vertical: N/ABroad: N/A","N/A 3-Cone: N/A Shuttle: N/A Vertical: N/ABroad: N/A","N/ABroad: N/A","N/A","N/A Shuttle: N/A Vertical: N/ABroad: N/A","N/A Vertical: N/ABroad: N/A",NA
"3","https://bleacherreport.com/articles/25248572-nfl-draft-2026-scouting-report-notre-dame-rb-jeremiyah-love","NFL Draft 2026 Scouting Report for Notre Dame RB Jeremiyah Love","NFL Draft 2026 Scouting Report for Notre Dame RB Jeremiyah Love","Jeremiyah Love",NA,"- Love runs with good patience behind the offensive line to maximize their blocks before finding daylight. | - Great combination of top-end speed, agility, and explosiveness, making him a dangerous threat with the football at all times. The defense must close the space between them quickly, or he will hit the sideline in full stride after breaking through the first level. | - Ability to decelerate and re-accelerate to evade incoming defenders and make sudden cuts/change of direction in the open field. He possesses the lateral explosiveness and agility to press a rush lane and jump-cut to evade closing defenders, while working into a vacated space for positive yards. | - Talented receiving skill set out of the backfield. He can be deployed in the slot and run routes in space to create mismatches for the offense. | - Runs behind his pads downhill with good balance to finish plays through contact and fall forward. | - He has been great at protecting the football throughout his career (267 rushing attempts without a fumble).","- Love must prioritize protecting himself from big hits. He attempts to hurdle over defenders, placing himself in a vulnerable position in the air. | - Leaner build/frame can raise questions for some NFL teams and evaluators on whether he can handle a ""bell cow"" workload.",NA,"Height: 6'0"" Weight: 214 HAND: 9⅛ Arm: 32"" 40-Yard DASH: 4.36"" Vertical Jump: N/A Broad Jump: N/A 3-Cone Drill: N/A 20-Yard Shuttle: N/A Bench Press: N/A","9.0 (Pro Bowl Player — 1st Round)","Bijan Robinson (9.0 in 2023), Ashton Jeanty (8.5 in 2025), Omarion Hampton (8.0 in 2025)","2nd","RB1","Jamaal Charles","6'0"" Weight: 214 HAND: 9⅛ Arm: 32"" 40-Yard DASH: 4.36"" Vertical Jump: N/A Broad Jump: N/A 3-Cone Drill: N/A 20-Yard Shuttle: N/A Bench Press: N/A","214 HAND: 9⅛ Arm: 32"" 40-Yard DASH: 4.36"" Vertical Jump: N/A Broad Jump: N/A 3-Cone Drill: N/A 20-Yard Shuttle: N/A Bench Press: N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A Bench Press: N/A",NA
"4","https://bleacherreport.com/articles/25248189-nfl-draft-2026-scouting-report-indiana-qb-fernando-mendoza","NFL Draft 2026 Scouting Report for Indiana QB Fernando Mendoza","NFL Draft 2026 Scouting Report for Indiana QB Fernando Mendoza","Fernando Mendoza",NA,"- High football IQ and quick post-snap processing. | - Possesses good arm talent/strength to drive the ball past linebackers with good velocity against both zone and man coverages. | - Dissects defenses quickly and efficiently from the pocket with his decision-making. | - He excels at layering the football over the defense and dropping it into the bucket at all three levels. | - Accurate passer at all three-levels, layers the football into tight windows. | - He is a functional, above-average straight-line athlete who will take free yards with his legs. | - Overall toughness, he has taken big hits and punishment, but never stayed down.","- Pocket mobility is average, does not climb or slide to reset and throw. | - Rushing his process when pressured, leading to inaccurate and off-target throws | - Inconsistent with decision-making under pressure; needs to learn to take the check/hot routes and take the profit. | - Developing answers at the line of scrimmage against simulated pressure looks. | - Functional athlete who is unable to consistently escape pressure in the pocket. | - Played in an RPO-heavy offense at Indiana, limited the amount of NFL throws on tape in 2025.",NA,"Height: 6'4¾"" Weight: 236 Hand: 9½"" Arm: 31⅞"" Wingspan: 76¾ | 40-YARD DASH: N/A Vertical: N/A Broad Jump: N/A 3-Cone Drill: N/A 20-Yard Shuttle: N/A Bench Press: N/A","8.6 (Impact Player — 1st Round)","Cam Ward (8.3 in 2025), Bryce Young (8.2 in 2023), Desmond Ridder (8.4 in 2022)","3rd","QB1","Matt Ryan with mobility","6'4¾"" Weight: 236 Hand: 9½"" Arm: 31⅞"" Wingspan: 76¾","236 Hand: 9½"" Arm: 31⅞"" Wingspan: 76¾",NA,NA,"76¾",NA,NA,"N/A Broad Jump: N/A 3-Cone Drill: N/A 20-Yard Shuttle: N/A Bench Press: N/A",NA,NA,"N/A Bench Press: N/A",NA
"5","https://bleacherreport.com/articles/25250719-nfl-draft-2026-scouting-report-lsu-cb-mansoor-delane","NFL Draft 2026 Scouting Report for LSU CB Mansoor Delane","NFL Draft 2026 Scouting Report for LSU CB Mansoor Delane","Mansoor Delane",NA,"— Sticky, man-cover corner who presents a physical presence on the outside. He doesn't back down to bigger, ball-winning wide receivers. | — Reactive athleticism paired with a great ability to read receivers and route combinations. It allows him to break quickly and disrupt the catchpoint. | — Delane is a smooth athlete when moving backward and triggering downhill. Paired with his reactive athleticism, he can impact the run game. | — Doesn't panic when the ball is in there air and locates it well. He attacks the football with regularity. | — Football IQ to play zone at a high level and maintain responsibilities.","— Tends to let his eyes wander from responsibilities in zone coverage. Keeping his eyes on receivers entering his zone and shifting to the quarterback will be key. | — Pursuing downhill to the ball carrier and wrapping up, particularly in the run game. The want to is there, but some tackling technique improvement would make a difference. | — Learning to read quick receivers in soft press and maintain patience. Can trust his feet more in change of direction.",".css-1582m2i{margin:0;font:inherit;font-weight:700;}GRADE: 8.2 (Impact Player - 1st Round) | COMPARABLE GRADE: Devon Witherspoon, CB, Illinois (8.5 in 2023), CB Quinyon Mitchell. Toledo (8.5 in 2024), CB Christian Gonzalez, Oregon (8.3 in 2023) | OVERALL RANK: 8 | POSITION RANK: CB1 | PRO COMPARISON: Quinyon Mitchell | TOP NEWS | Fernando Mendoza Scouting Report 📋 | New WR Has 'Explosive' Ability | Mocks One Week From Draft","Height: 6'0"" Weight: 187 Hand Size: 8 ⅞"" Arm Length: 30"" Wingspan: 74 ½"" 40-yard dash: 4.35 10-yard split: N/A Vertical: N/A Broad: N/A 3 cone: N/A Shuttle: N/A Bench: N/A","8.2 (Impact Player - 1st Round)","Devon Witherspoon, CB, Illinois (8.5 in 2023), CB Quinyon Mitchell. Toledo (8.5 in 2024), CB Christian Gonzalez, Oregon (8.3 in 2023)","8","CB1","Quinyon Mitchell","6'0"" Weight: 187 Hand Size: 8 ⅞"" Arm Length: 30"" Wingspan: 74 ½"" 40-yard dash: 4.35 10-yard split: N/A Vertical: N/A Broad: N/A 3 cone: N/A Shuttle: N/A Bench: N/A","187 Hand Size: 8 ⅞"" Arm Length: 30"" Wingspan: 74 ½"" 40-yard dash: 4.35 10-yard split: N/A Vertical: N/A Broad: N/A 3 cone: N/A Shuttle: N/A Bench: N/A","8 ⅞"" Arm Length: 30"" Wingspan: 74 ½"" 40-yard dash: 4.35 10-yard split: N/A Vertical: N/A Broad: N/A 3 cone: N/A Shuttle: N/A Bench: N/A","30"" Wingspan: 74 ½"" 40-yard dash: 4.35 10-yard split: N/A Vertical: N/A Broad: N/A 3 cone: N/A Shuttle: N/A Bench: N/A","74 ½"" 40-yard dash: 4.35 10-yard split: N/A Vertical: N/A Broad: N/A 3 cone: N/A Shuttle: N/A Bench: N/A",NA,NA,"N/A Broad: N/A 3 cone: N/A Shuttle: N/A Bench: N/A","N/A 3 cone: N/A Shuttle: N/A Bench: N/A",NA,"N/A Bench: N/A","N/A"
"6","https://bleacherreport.com/articles/25261843-nfl-draft-2026-scouting-report-ohio-state-lb-arvell-reese","NFL Draft 2026 Scouting Report for Ohio State LB Arvell Reese","NFL Draft 2026 Scouting Report for Ohio State LB Arvell Reese","Arvell Reese",NA,"- Great size and carries his frame well with no bad weight, giving him room for growth if need be. Also, has good arm length for an off-ball linebacker. | - Shows good instincts against the run to consistently be in the right spot. | - Physical and elite strength at the point of attack to stand up offensive linemen when taking on blocks on the second level. | - Impressive speed and pop behind his pads when coming downhill. | - Has experience playing on the edge as a stand-up outside linebacker and has shown the ability to set the edge against offensive tackles or pullers. | - Sure tackler overall who wraps up and has a large radius due to his long arms. | - In pursuit, he maintains proper leverage on ball carriers, has good speed to increase his range and breaks down to make tackles in space. | - Adds value as a blitzer on third downs, strong and physical to beat running backs with power, can execute coffee house stunts and has impressive closing speed on the quarterback. | - Experience playing in an NFL-level defensive scheme with former New England Patriots defensive coordinator and Detroit Lions head coach Matt Patricia taking over as Ohio State's defensive coordinator in 2025.","- Change of direction, lateral movement skills and lack of short-area quickness hinder his ability to cover tight ends and running backs in man coverage or make plays on the ball in zone coverage. | - Slow/late to get depth against play-action passes, leaving the middle of the field open. | - Bad eyes in zone coverage and often ends up covering grass. | - Has a habit of taking blocks square instead of getting on an edge, causing him to occasionally lose gap control. | Grade, Rank, and Pro Comparison | .css-1582m2i{margin:0;font:inherit;font-weight:700;}GRADE: 8.5 (Impact Player — 1st Round) | COMPARABLE GRADE: Micah Parsons, Penn State (8.3 in 2021), Jeremiah Owusu-Koramoah, Notre Dame (8.5 in 2021), Nakobe Dean, Georgia (8.2 in 2022) | OVERALL RANK: 4 | POSITION RANK: LB1 | PRO COMPARISON: Demario Davis with more length",NA,"Height: 6'4"" Weight: 241 Hand: 9½"" Arm: 32½"" Wingspan: 79½"" | 40-Yard Dash: 4.46 10-Yard Split: 1.58 3-Cone: N/A Shuttle: N/A Vertical: N/A Broad: N/A","8.5 (Impact Player — 1st Round)","Micah Parsons, Penn State (8.3 in 2021), Jeremiah Owusu-Koramoah, Notre Dame (8.5 in 2021), Nakobe Dean, Georgia (8.2 in 2022)","4","LB1","Demario Davis with more length","6'4"" Weight: 241 Hand: 9½"" Arm: 32½"" Wingspan: 79½""","241 Hand: 9½"" Arm: 32½"" Wingspan: 79½""",NA,NA,"79½""","4.46 10-Yard Split: 1.58 3-Cone: N/A Shuttle: N/A Vertical: N/A Broad: N/A","1.58 3-Cone: N/A Shuttle: N/A Vertical: N/A Broad: N/A","N/A Broad: N/A","N/A","N/A Shuttle: N/A Vertical: N/A Broad: N/A","N/A Vertical: N/A Broad: N/A",NA
"7","https://bleacherreport.com/articles/25258657-nfl-draft-2026-scouting-report-texas-tech-edge-david-bailey","NFL Draft 2026 Scouting Report for Texas Tech Edge David Bailey","NFL Draft 2026 Scouting Report for Texas Tech Edge David Bailey","David Bailey",NA,"- Impressive athlete who is quick-twichted and has very smooth/easy change of direction skills to beat offensive linemen across faces. | - Good acceleration off the line of scrimmage to win around the edge with speed. | - Bailey uses his hands well as a pass-rusher, showing quick and active hands to ""defeat the hands, defeat the man"" against offensive tackles. | - Shown several pass-rush moves that he can with: hand swipe, rip, ghost rush, inside spin and long-arm. | - Good bend to corner at the top of the rush. | - Very agile to be an effective looper in line games, he can gain ground vertically while moving laterally.","- Slightly undersized to be a full-time edge defender in the NFL, Stanford had Bailey listed at 238 pounds in 2024, meaning he has already put on 13 pounds and might have maxed out his frame. | - Lacks the strength to be an effective run defender; he struggles to get extension on blocks and has skinny legs, which makes setting the edge against offensive linemen difficult. | - Not very physical at the point of attack. | - Has a habit of working around blocks, even against tight ends, often vacating his gap. | - Doesn't have the mass and strength to effectively turn speed to power against good competition. | Grade, Rank, and Pro Comparison | .css-1582m2i{margin:0;font:inherit;font-weight:700;}GRADE: 8.4 (Year 1 Starter — 1st Round) | COMPARABLE GRADE: Jaelan Phillips, Miami (8.1 in 2021), Dallas Turner, Alabama (8.4 in 2024), Laiatu Latu, UCLA (8.4 in 2024) | OVERALL RANK: 7 | POSITION RANK: EDGE2 | PRO COMPARISON: Jaelan Phillips",NA,"Height: 6'4"" Weight: 251 Hand: 10¼"" Arm: 33¾"" Wingspan: 79¾"" | 40-Yard Dash: 4.50 10-Yard Split: 1.62 3-Cone: N/A Shuttle: N/A Vertical: 35"" Broad: 10'9""","8.4 (Year 1 Starter — 1st Round)","Jaelan Phillips, Miami (8.1 in 2021), Dallas Turner, Alabama (8.4 in 2024), Laiatu Latu, UCLA (8.4 in 2024)","7","EDGE2","Jaelan Phillips","6'4"" Weight: 251 Hand: 10¼"" Arm: 33¾"" Wingspan: 79¾""","251 Hand: 10¼"" Arm: 33¾"" Wingspan: 79¾""",NA,NA,"79¾""","4.50 10-Yard Split: 1.62 3-Cone: N/A Shuttle: N/A Vertical: 35"" Broad: 10'9""","1.62 3-Cone: N/A Shuttle: N/A Vertical: 35"" Broad: 10'9""","35"" Broad: 10'9""","10'9""","N/A Shuttle: N/A Vertical: 35"" Broad: 10'9""","N/A Vertical: 35"" Broad: 10'9""",NA
"8","https://bleacherreport.com/articles/25248631-nfl-draft-2026-scouting-report-arizona-state-wr-jordyn-tyson","NFL Draft 2026 Scouting Report for Arizona State WR Jordyn Tyson","NFL Draft 2026 Scouting Report for Arizona State WR Jordyn Tyson","Jordyn Tyson",NA,"- Twitchy route runner; consistently wins leverage and creates separation | - Sudden mover with short-area quickness; effective at all three levels | - Alignment-versatile; He projects best as a movable Z-receiver that creates advantageous matchups. | - Flashes late hands and wins through contact; strong ball skills at the catch point | - Excellent body control, high points, and adjusts well to passes downfield | -Vertical speed to threaten and beat defenses over the top","- Inconsistent route efficiency with wasted movements at breaking points | - Struggles with physical press coverage, delayed, and inconsistent hand usage | - Injury history raises durability concerns | - Doesn't maximize his physical ability to create YAC; Athleticism is there but development is needed",NA,"Height: 6'2"" Weight: 203 HAND: 9⅛"" ARM: 30¼"" Wingspan: 75¼"" | 40-Yard DASH: N/A 3-Cone Drill: N/A Shuttle: N/A Vertical: N/A Broad: N/A Bench Press: 26","8.20 (Year 1 Starter — 1st Round)","Quentin Johnston (8.4 in 2023), Jaxson Smith-Njigba (8.3 in 2023), Jameson Williams (8.4 in 2022)","9","WR1","Amari Cooper","6'2"" Weight: 203 HAND: 9⅛"" ARM: 30¼"" Wingspan: 75¼""","203 HAND: 9⅛"" ARM: 30¼"" Wingspan: 75¼""",NA,NA,"75¼""",NA,NA,"N/A Broad: N/A Bench Press: 26","N/A Bench Press: 26",NA,"N/A Vertical: N/A Broad: N/A Bench Press: 26",NA
"9","https://bleacherreport.com/articles/25248167-nfl-draft-2026-scouting-report-clemson-dl-peter-woods","NFL Draft 2026 Scouting Report for Clemson DL Peter Woods","NFL Draft 2026 Scouting Report for Clemson DL Peter Woods","Peter Woods",NA,"- Good size with impressive movement skills and quickness for a defensive tackle. | - Plenty of upper body strength and pop in his hands to stand up offensive linemen and gain control of the block. Also is quick to shoot his hands and keeps his hands tight to protect his chest. | - Very good at getting off blocks, stack-and-shedding looks easy for him and has a hump move to escape, too. | - Against double teams, Woods attacks the man he's lined up across and has showed the ability to get skinny and occasionally split combo blocks. | - Has the combination of power and movement skills to develop into a quality pass-rusher down the line.","- Minimal pass-rush production, doesn't have a go-to move and is still learning how to use his hands as a rusher. Only had five career sacks over three seasons. | - Pad level off the line of scrimmage is subpar, hurting the effectiveness of his bull rush, and Woods struggles to sink his hips and anchor against down blocks. | - Has balance issues when shedding blocks or breaking into the backfield, which can lead to missed tackles. | - In 2024, he played with some bad weight and admitted he was too heavy (h/t The Clemson Insider), will need to keep his weight under control at the next level. | Grade, Rank, and Pro Comparison | .css-1582m2i{margin:0;font:inherit;font-weight:700;}GRADE: 8.0 (Impact Player — 1st Round) | COMPARABLE GRADE: Derrick Harmon, Oregon (8.0 in 2025), Byron Murphy II, Texas (8.1 in 2024), Jer'Zhan Newton, Illinois (8.0 in 2024) | OVERALL RANK: 21 | POSITION RANK: DL2 | PRO COMPARISON: Jeffery Simmons",NA,"Height: 6'3"" Weight: 298 Hand: 9⅛"" Arm: 31¼"" Wingspan: 76⅝"" | 40-Yard dash: N/A 10-Yard split: 1.67 3-Cone: 7.70 Shuttle: 4.53 Vertical: 29"" Broad: 8'8""","8.0 (Impact Player — 1st Round)","Derrick Harmon, Oregon (8.0 in 2025), Byron Murphy II, Texas (8.1 in 2024), Jer'Zhan Newton, Illinois (8.0 in 2024)","21","DL2","Jeffery Simmons","6'3"" Weight: 298 Hand: 9⅛"" Arm: 31¼"" Wingspan: 76⅝""","298 Hand: 9⅛"" Arm: 31¼"" Wingspan: 76⅝""",NA,NA,"76⅝""",NA,NA,"29"" Broad: 8'8""","8'8""","7.70 Shuttle: 4.53 Vertical: 29"" Broad: 8'8""","4.53 Vertical: 29"" Broad: 8'8""",NA
"10","https://bleacherreport.com/articles/25252853-nfl-draft-2026-scouting-report-ohio-state-wr-carnell-tate","NFL Draft 2026 Scouting Report for Ohio State WR Carnell Tate","NFL Draft 2026 Scouting Report for Ohio State WR Carnell Tate","Carnell Tate",NA,"- Advanced route runner; consistently manipulates leverage and creates separation | - Sells vertical stems effectively, forces defenders to open hips early | - Long strider, covers ground quickly with free releases | - Strong ball skills, fully extends outside frame, and wins at the catch point | - Excellent body control, adjusts to off-target throws | - Competitive perimeter run blocker","- Build-up speed, lacks initial burst versus physical press coverage | - Questionable play strength; can get stalled by physical cornerbacks | - Limited YAC creativity, relies on angles rather than elusiveness in the open field | - Saw favorable coverage matchups across from Jeremiah Smith, raising questions on how he will handle WR1 workload and defensive attention",NA,"Height: 6'2"" Weight: 192 HAND: 10¼"" ARM: 31¾"" | 40-Yard Dash: 4.53 3-Cone: N/A Shuttle: N/A Vertical: N/A Broad: N/A","8.15 (Year 1 Starter— 1st Round)","Quentin Johnston (8.4 in 2023), Jaxson Smith-Njigba (8.3 in 2023), Jameson Williams (8.4 in 2022)","11","WR2","DeVonta Smith","6'2"" Weight: 192 HAND: 10¼"" ARM: 31¾""","192 HAND: 10¼"" ARM: 31¾""",NA,NA,NA,"4.53 3-Cone: N/A Shuttle: N/A Vertical: N/A Broad: N/A",NA,"N/A Broad: N/A","N/A","N/A Shuttle: N/A Vertical: N/A Broad: N/A","N/A Vertical: N/A Broad: N/A",NA
