"","Player.Name","Position","ngram_size","ngram","total_count","sources_present","beast_n","pff_n","br_n"
"1","Aaron Anderson","WR",2,"catch radius",2,2,1,0,1
"2","Adam Randall","RB",3,"bodied ball carrier",2,2,1,0,1
"3","Adam Randall","RB",2,"pass protection",4,3,2,1,1
"4","Adam Randall","RB",2,"wide receiver",3,3,1,1,1
"5","Adam Randall","RB",2,"extra yards",2,2,1,0,1
"6","Aiden Fisher","LB",2,"pattern match",2,2,1,0,1
"7","Aiden Fisher","LB",2,"zone coverage",2,2,1,0,1
"8","Akheem Mesidor","EDGE",2,"pass rush",3,2,1,0,2
"9","Akheem Mesidor","EDGE",2,"foot injury",2,2,1,0,1
"10","Akheem Mesidor","EDGE",2,"rush moves",2,2,1,0,1
"11","Alex Harkey","OT",2,"pass protection",2,2,1,0,1
"12","Alex Harkey","OT",2,"run game",2,2,1,0,1
"13","Alex Harkey","OT",2,"sustain skills",2,2,1,0,1
"14","Anthony Lucas","EDGE",2,"pass rusher",5,2,2,0,3
"15","Anthony Lucas","EDGE",2,"upper body",2,2,1,0,1
"16","Arvell Reese","LB",2,"defensive coordinator",3,2,1,0,2
"17","Arvell Reese","LB",2,"play action",2,2,1,0,1
"18","Avieon Terrell","CB",2,"forced fumbles",3,2,2,0,1
"19","Blake Miller","OT",2,"pass protection",3,2,2,0,1
"20","Blake Miller","OT",2,"drive blocks",2,2,1,0,1
"21","Brenen Thompson","WR",2,"deep speed",2,2,1,0,1
"22","Brenen Thompson","WR",2,"double moves",2,2,1,0,1
"23","Brenen Thompson","WR",2,"limited mass",2,2,1,0,1
"24","Bryce Boettcher","LB",2,"nfl linebacker",2,2,1,0,1
"25","Bryce Boettcher","LB",2,"zone coverage",2,2,1,0,1
"26","CJ Allen","LB",3,"run defender allen",2,2,1,0,1
"27","CJ Allen","LB",2,"zone coverage",2,2,1,0,1
"28","CJ Daniels","WR",3,"contested catch rate",2,2,1,1,0
"29","CJ Daniels","WR",2,"true difference",2,2,1,1,0
"30","Cade Klubnik","QB",2,"post snap",3,2,0,1,2
"31","Cade Klubnik","QB",2,"arm talent",2,2,1,1,0
"32","Cade Klubnik","QB",2,"level defenders",2,2,1,0,1
"33","Caleb Banks","DL",2,"double teams",2,2,1,0,1
"34","Caleb Banks","DL",2,"nfl combine",2,2,1,0,1
"35","Caleb Banks","DL",2,"spring practices",2,2,1,0,1
"36","Caleb Douglas","WR",2,"play strength",2,2,1,1,0
"37","Caleb Douglas","WR",2,"red raiders",2,2,1,1,0
"38","Caleb Douglas","WR",2,"texas tech",2,2,1,1,0
"39","Caleb Downs","S",2,"pursuit angles",2,2,1,0,1
"40","Caleb Lomu","OT",2,"run game",5,2,3,0,2
"41","Caleb Lomu","OT",2,"body control",3,2,2,0,1
"42","Caleb Lomu","OT",2,"pass protection",2,2,1,0,1
"43","Caleb Lomu","OT",2,"play strength",2,2,1,0,1
"44","Carnell Tate","WR",2,"route runner",3,3,1,1,1
"45","Carnell Tate","WR",2,"body control",3,2,2,0,1
"46","Carson Beck","QB",3,"turnover worthy plays",3,2,2,0,1
"47","Carson Beck","QB",2,"average athlete",2,2,1,0,1
"48","Carson Beck","QB",2,"ball placement",2,2,1,0,1
"49","Cashius Howell","EDGE",2,"pass rusher",4,2,1,0,3
"50","Cashius Howell","EDGE",2,"comfortable dropping",2,2,1,0,1
"51","Cashius Howell","EDGE",2,"cross chop",2,2,1,0,1
"52","Caullin Lacy","WR",2,"special teams",2,2,1,1,0
"53","Chase Bisontis","IOL",2,"independent hands",2,2,1,0,1
"54","Chris Bell","WR",3,"outstanding body control",2,2,1,0,1
"55","Chris Bell","WR",2,"route runner",3,2,1,0,2
"56","Chris Bell","WR",2,"pass catcher",2,2,1,0,1
"57","Chris Bell","WR",2,"route tree",2,2,1,1,0
"58","Chris Brazzell","WR",2,"vertical threat",3,2,2,0,1
"59","Chris Brazzell","WR",2,"intermediate routes",2,2,1,0,1
"60","Chris Brazzell","WR",2,"route running",2,2,0,1,1
"61","Chris Johnson","CB",2,"run game",2,2,1,0,1
"62","Christen Miller","DL",2,"defensive line",3,2,2,0,1
"63","Christen Miller","DL",2,"double teams",2,2,1,0,1
"64","Christen Miller","DL",2,"pass rush",2,2,1,0,1
"65","Cole Payton","QB",2,"north dakota",2,2,1,1,0
"66","Connor Lew","IOL",2,"movement skills",2,2,1,0,1
"67","Dametrious Crownover","OT",2,"anchor marginal",2,2,1,0,1
"68","Dangelo Ponds","CB",2,"ball production",2,2,1,0,1
"69","Dangelo Ponds","CB",2,"missed tackles",2,2,1,0,1
"70","Dangelo Ponds","CB",2,"shorter arms",2,2,1,0,1
"71","Dani Dennis-Sutton","EDGE",2,"dennis sutton",6,2,3,0,3
"72","Dani Dennis-Sutton","EDGE",2,"edge rusher",2,2,1,0,1
"73","Dani Dennis-Sutton","EDGE",2,"force player",2,2,1,0,1
"74","Darrell Jackson","DL",2,"pass rusher",4,2,2,0,2
"75","Darrell Jackson","DL",2,"pad level",2,2,1,0,1
"76","David Bailey","EDGE",2,"pass rusher",2,2,1,0,1
"77","David Bailey","EDGE",2,"run defender",2,2,1,0,1
"78","Daylen Everette","CB",2,"foot quickness",2,2,1,0,1
"79","DeZhaun Stribling","WR",2,"ole miss",3,2,2,1,0
"80","DeZhaun Stribling","WR",2,"ball skills",2,2,1,0,1
"81","DeZhaun Stribling","WR",2,"ball tracking",2,2,1,0,1
"82","DeZhaun Stribling","WR",2,"college football",2,2,1,1,0
"83","DeZhaun Stribling","WR",2,"defeat press",2,2,0,1,1
"84","DeZhaun Stribling","WR",2,"strong ball",2,2,1,0,1
"85","Deion Burks","WR",3,"hand eye coordination",2,2,1,0,1
"86","Deion Burks","WR",2,"double moves",2,2,1,0,1
"87","Deion Burks","WR",2,"jet sweeps",2,2,1,0,1
"88","Deion Burks","WR",2,"soft tissue",2,2,1,0,1
"89","Delby Lemieux","IOL",2,"team captain",2,2,1,0,1
"90","Denzel Boston","WR",2,"red zone",2,2,1,0,1
"91","Derrick Moore","EDGE",2,"pass rusher",4,2,2,0,2
"92","Derrick Moore","EDGE",2,"run defender",3,2,1,0,2
"93","Desmond Reid","RB",2,"rushing yards",2,2,1,1,0
"94","Diego Pavia","QB",3,"heisman trophy finalist",2,2,1,1,0
"95","Diego Pavia","QB",2,"passing game",4,2,3,1,0
"96","Diego Pavia","QB",2,"scramble drill",2,2,1,1,0
"97","Dillon Thieneman","S",2,"ball carrier",2,2,1,0,1
"98","Dillon Thieneman","S",2,"run defender",2,2,1,0,1
"99","Domani Jackson","CB",2,"ball carriers",2,2,1,0,1
"100","Domonique Orange","DL",2,"pass rusher",3,2,2,0,1
"101","Dontay Corleone","DL",2,"blood clots",3,2,2,0,1
"102","Dontay Corleone","DL",2,"double teams",3,2,1,0,2
"103","Dontay Corleone","DL",2,"knee injury",2,2,1,0,1
"104","Dontay Corleone","DL",2,"knockback power",2,2,1,0,1
"105","Dontay Corleone","DL",2,"pass rusher",2,2,1,0,1
"106","Dontay Corleone","DL",2,"shorter arms",2,2,1,0,1
"107","Drew Allar","QB",2,"ball placement",3,2,1,0,2
"108","Drew Allar","QB",2,"arm strength",2,2,1,0,1
"109","Drew Allar","QB",2,"quick game",2,2,1,0,1
"110","Drew Shelton","OT",2,"play strength",2,2,1,0,1
"111","Emmanuel McNeil-Warren","S",2,"mcneil warren",5,2,4,0,1
"112","Emmanuel Pregnon","IOL",2,"pass protection",3,2,2,0,1
"113","Emmanuel Pregnon","IOL",2,"run game",3,2,2,0,1
"114","Emmett Johnson","RB",2,"lower half",2,2,1,0,1
"115","Emmett Johnson","RB",2,"pass protection",2,2,0,1,1
"116","Fernando Mendoza","QB",3,"rpo heavy offense",3,2,2,0,1
"117","Fernando Mendoza","QB",2,"ball placement",4,2,1,3,0
"118","Fernando Mendoza","QB",2,"football iq",2,2,0,1,1
"119","Fernando Mendoza","QB",2,"national championship",2,2,1,1,0
"120","Fernando Mendoza","QB",2,"pre snap",2,2,1,1,0
"121","Fernando Mendoza","QB",2,"shoulder thrower",2,2,1,1,0
"122","Francis Mauigoa","OT",2,"run game",3,2,2,0,1
"123","Francis Mauigoa","OT",2,"foot quickness",2,2,1,0,1
"124","Francis Mauigoa","OT",2,"play strength",2,2,1,0,1
"125","Gabe Jacas","EDGE",2,"pass rusher",4,2,2,0,2
"126","Gabe Jacas","EDGE",2,"pass rush",3,2,1,0,2
"127","Gabe Jacas","EDGE",2,"run game",3,2,1,0,2
"128","Gabe Jacas","EDGE",2,"run defender",2,2,1,0,1
"129","Garrett DiGiorgio","OT",2,"run game",3,2,2,0,1
"130","Garrett Nussmeier","QB",2,"pre snap",3,2,0,1,2
"131","Garrett Nussmeier","QB",2,"jayden daniels",2,2,1,1,0
"132","Garrett Nussmeier","QB",2,"longtime college",2,2,1,1,0
"133","Garrett Nussmeier","QB",2,"nfl coach",2,2,1,1,0
"134","Garrett Nussmeier","QB",2,"offensive line",2,2,1,0,1
"135","Genesis Smith","S",2,"ball carriers",2,2,1,0,1
"136","Genesis Smith","S",2,"safety position",2,2,1,0,1
"137","Gennings Dunker","OT",3,"upper body strength",2,2,1,0,1
"138","Germie Bernard","WR",2,"football iq",2,2,0,1,1
"139","Germie Bernard","WR",2,"route runner",2,2,0,1,1
"140","Gracen Halton","DL",2,"defensive tackle",2,2,1,0,1
"141","Harold Perkins","LB",2,"pass rusher",2,2,1,0,1
"142","Isaiah World","OT",2,"pass sets",2,2,1,0,1
"143","JC Davis","OT",2,"left tackle",3,2,2,0,1
"144","JC Davis","OT",2,"grip strength",2,2,1,0,1
"145","JMari Taylor","RB",2,"contact balance",2,2,1,1,0
"146","JMari Taylor","RB",2,"taylor runs",2,2,1,1,0
"147","JaKobi Lane","WR",2,"catch radius",3,2,2,1,0
"148","JaKobi Lane","WR",2,"route runner",2,2,1,1,0
"149","JaKobi Lane","WR",2,"route running",2,2,1,0,1
"150","Jack Endries","TE",2,"run game",3,2,1,0,2
"151","Jack Endries","TE",2,"ball skills",2,2,1,0,1
"152","Jack Endries","TE",2,"create space",2,2,1,0,1
"153","Jacob Rodriguez","LB",3,"career forced fumbles",2,2,1,0,1
"154","Jacob Rodriguez","LB",2,"peanut punch",2,2,1,0,1
"155","Jadarian Price","RB",2,"notre dame",3,2,2,1,0
"156","Jadarian Price","RB",2,"jeremiyah love",2,2,1,1,0
"157","Jadarian Price","RB",2,"pass protection",2,2,1,1,0
"158","Jadon Canady","CB",2,"ball skills",2,2,1,0,1
"159","Jadon Canady","CB",2,"pass catchers",2,2,1,0,1
"160","Jake Slaughter","IOL",2,"pass protection",2,2,1,0,1
"161","Jake Slaughter","IOL",2,"team captain",2,2,1,0,1
"162","Jakobe Thomas","S",2,"ball carriers",2,2,1,0,1
"163","Jakobe Thomas","S",2,"ball skills",2,2,1,0,1
"164","Jalen Farmer","IOL",2,"pass protection",3,2,2,0,1
"165","Jalen Farmer","IOL",2,"play strength",2,2,1,0,1
"166","Jalen Farmer","IOL",2,"recovery skills",2,2,1,0,1
"167","Jamarion Miller","RB",2,"ball security",2,2,1,1,0
"168","Jaydn Ott","RB",2,"shoulder injury",3,2,2,1,0
"169","Jeff Caldwell","WR",2,"average depth",2,2,1,1,0
"170","Jeff Caldwell","WR",2,"final season",2,2,1,1,0
"171","Jeff Caldwell","WR",2,"freaks list",2,2,1,1,0
"172","Jeremiah Wright","IOL",2,"double teams",2,2,1,0,1
"173","Jeremiah Wright","IOL",2,"physical presence",2,2,1,0,1
"174","Jeremiah Wright","IOL",2,"run game",2,2,1,0,1
"175","Jeremiah Wright","IOL",2,"stay square",2,2,1,0,1
"176","Jeremiyah Love","RB",2,"pass protection",3,2,2,1,0
"177","Joe Royer","TE",2,"run game",2,2,1,0,1
"178","Jonah Coleman","RB",2,"contact balance",2,2,0,1,1
"179","Jonah Coleman","RB",2,"pass catcher",2,2,0,1,1
"180","Jonah Coleman","RB",2,"pass protector",2,2,0,1,1
"181","Jordyn Tyson","WR",3,"physical press coverage",2,2,1,0,1
"182","Jordyn Tyson","WR",3,"torn acl mcl",2,2,1,1,0
"183","Jordyn Tyson","WR",2,"injury history",2,2,1,0,1
"184","Jordyn Tyson","WR",2,"knee injury",2,2,1,1,0
"185","Jordyn Tyson","WR",2,"vertical speed",2,2,0,1,1
"186","Josh Cameron","WR",2,"punt returner",2,2,1,1,0
"187","Josh Cameron","WR",2,"team captain",2,2,1,1,0
"188","Josh Cameron","WR",2,"wasted movement",2,2,0,1,1
"189","Josh Cuevas","TE",2,"pass catcher",2,2,1,0,1
"190","Joshua Josephs","EDGE",2,"pass rush",4,2,2,0,2
"191","Joshua Josephs","EDGE",2,"pass rusher",2,2,1,0,1
"192","Jude Bowry","OT",2,"pass protection",3,2,1,0,2
"193","Jude Bowry","OT",2,"inside shoulder",2,2,1,0,1
"194","Julian Neal","CB",2,"ball skills",2,2,1,0,1
"195","Justin Jefferson","LB",2,"offensive linemen",3,2,1,0,2
"196","Justin Joly","TE",2,"ball skills",2,2,1,0,1
"197","Justin Joly","TE",2,"special teams",2,2,1,1,0
"198","Justin Joly","TE",2,"strong hands",2,2,1,1,0
"199","Kaelon Black","RB",2,"time role",3,2,2,0,1
"200","Kaelon Black","RB",2,"curt cignetti",2,2,1,1,0
"201","Kaelon Black","RB",2,"james madison",2,2,1,1,0
"202","Kaelon Black","RB",2,"pass protection",2,2,0,1,1
"203","Kaelon Black","RB",2,"torn acl",2,2,1,1,0
"204","Kage Casey","OT",2,"lower half",2,2,1,0,1
"205","Kage Casey","OT",2,"pass protection",2,2,1,0,1
"206","Kage Casey","OT",2,"senior bowl",2,2,1,0,1
"207","Kayden McDonald","DL",2,"pass rush",4,2,3,0,1
"208","Kayden McDonald","DL",2,"double teams",2,2,1,0,1
"209","Kayden McDonald","DL",2,"run defender",2,2,1,0,1
"210","Kaytron Allen","RB",2,"rushing touchdowns",3,2,2,0,1
"211","Kaytron Allen","RB",2,"breakaway speed",2,2,0,1,1
"212","Kaytron Allen","RB",2,"extra yards",2,2,0,1,1
"213","Kaytron Allen","RB",2,"nicknamed fatman",2,2,1,1,0
"214","Kaytron Allen","RB",2,"short yardage",2,2,1,1,0
"215","Keldric Faulk","EDGE",2,"pass rusher",5,2,1,0,4
"216","Keldric Faulk","EDGE",2,"defensive line",2,2,1,0,1
"217","Kendrick Law","WR",4,"extensive special teams experience",2,2,1,1,0
"218","Keylan Rutledge","IOL",2,"competitive toughness",2,2,1,0,1
"219","Keylan Rutledge","IOL",2,"heavy hands",2,2,1,0,1
"220","LT Overton","EDGE",3,"tweener body type",2,2,1,0,1
"221","LT Overton","EDGE",2,"defensive line",2,2,1,0,1
"222","LT Overton","EDGE",2,"pad level",2,2,1,0,1
"223","LeVeon Moss","RB",3,"missed significant time",2,2,1,1,0
"224","LeVeon Moss","RB",2,"contact balance",3,2,2,1,0
"225","LeVeon Moss","RB",2,"ankle injury",2,2,1,1,0
"226","LeVeon Moss","RB",2,"arm tackles",2,2,1,0,1
"227","LeVeon Moss","RB",2,"gap scheme",2,2,0,1,1
"228","LeVeon Moss","RB",2,"goal line",2,2,1,0,1
"229","LeVeon Moss","RB",2,"knee injury",2,2,1,1,0
"230","LeVeon Moss","RB",2,"pass protection",2,2,1,1,0
"231","Lee Hunter","DL",2,"double teams",3,2,1,0,2
"232","Lee Hunter","DL",2,"pass rush",3,2,2,0,1
"233","Lewis Bond","WR",2,"catch radius",2,2,1,0,1
"234","Logan Taylor","IOL",2,"arm length",2,2,1,0,1
"235","Louis Moore","S",2,"wide receiver",3,2,2,0,1
"236","Makai Lemon","WR",2,"route runner",4,2,3,0,1
"237","Makai Lemon","WR",2,"catch radius",2,2,1,0,1
"238","Makai Lemon","WR",2,"nfl defensive",2,2,1,0,1
"239","Makai Lemon","WR",2,"play strength",2,2,1,0,1
"240","Makai Lemon","WR",2,"top tier",2,2,1,1,0
"241","Malachi Fields","WR",2,"catch radius",2,2,1,1,0
"242","Malachi Fields","WR",2,"plays fields",2,2,1,0,1
"243","Malachi Fields","WR",2,"route runner",2,2,0,1,1
"244","Malachi Fields","WR",2,"takes advantage",2,2,1,0,1
"245","Malik Muhammad","CB",2,"run defender",2,2,1,0,1
"246","Markel Bell","OT",2,"run game",5,2,4,0,1
"247","Markel Bell","OT",2,"tackle prospect",2,2,1,0,1
"248","Max Klare","TE",2,"passing game",2,2,1,1,0
"249","Michael Taaffe","S",2,"special teams",4,2,2,0,2
"250","Michael Taaffe","S",2,"post snap",2,2,1,0,1
"251","Michael Trigg","TE",2,"run game",3,2,2,0,1
"252","Michael Trigg","TE",2,"attack leverage",2,2,1,0,1
"253","Mike Washington","RB",2,"pass protection",3,3,1,1,1
"254","Mike Washington","RB",2,"ball security",2,2,0,1,1
"255","Monroe Freeling","OT",2,"contact balance",2,2,1,0,1
"256","Nate Boerkircher","TE",2,"receiving production",2,2,1,1,0
"257","Nick Singleton","RB",2,"cut runner",2,2,1,0,1
"258","Nick Singleton","RB",2,"forward momentum",2,2,1,0,1
"259","Nick Singleton","RB",2,"pass catcher",2,2,1,0,1
"260","Nick Singleton","RB",2,"pursuit angles",2,2,1,0,1
"261","Nick Singleton","RB",2,"total touchdowns",2,2,1,1,0
"262","Noah Whittington","RB",2,"bucky irving",2,2,1,0,1
"263","Noah Whittington","RB",2,"option routes",2,2,1,0,1
"264","Noah Whittington","RB",2,"pass protection",2,2,1,0,1
"265","Olaivavega Ioane","IOL",2,"pass protection",5,2,4,0,1
"266","Olaivavega Ioane","IOL",2,"run game",3,2,2,0,1
"267","Olaivavega Ioane","IOL",2,"grip strength",2,2,1,0,1
"268","Olaivavega Ioane","IOL",2,"recovery skills",2,2,1,0,1
"269","Omar Cooper","WR",3,"rpo heavy scheme",2,2,1,0,1
"270","Omar Cooper","WR",2,"body control",2,2,1,0,1
"271","Omar Cooper","WR",2,"contact balance",2,2,1,0,1
"272","Omar Cooper","WR",2,"route runner",2,2,0,1,1
"273","Parker Brailsford","IOL",2,"stay attached",2,2,1,0,1
"274","Peter Woods","DL",2,"pass rusher",2,2,1,0,1
"275","Rahsul Faison","RB",2,"south carolina",3,2,2,1,0
"276","Rahsul Faison","RB",2,"junior college",2,2,1,1,0
"277","Rahsul Faison","RB",2,"pass protection",2,2,1,1,0
"278","Rayshaun Benny","DL",2,"pass rush",3,2,2,0,1
"279","Rayshaun Benny","DL",2,"car accident",2,2,1,0,1
"280","Rayshaun Benny","DL",2,"lower body",2,2,1,0,1
"281","Rayshaun Benny","DL",2,"pad level",2,2,1,0,1
"282","Roman Hemby","RB",2,"leading rusher",3,2,1,0,2
