college,college_logo_url
Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Arizona,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona State,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Auburn,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
BYU,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Baylor,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Boise State,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Buffalo,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
California,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Central Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Cincinnati,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Clemson,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Dartmouth,http://a.espncdn.com/i/teamlogos/ncaa/500/159.png
Duke,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Florida State,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Georgia,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Georgia State,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Georgia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Houston,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Incarnate Word,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png
Indiana,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Iowa,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Iowa State,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
John Carroll,http://a.espncdn.com/i/teamlogos/ncaa/500/2302.png
Kansas,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas State,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
LSU,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Louisiana-Lafayette,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png
Louisville,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
Maryland,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Memphis,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png
