player_name,position,college,consensus,text_source,sc_prediction,p_cornerstone,p_53_man,p_roster_bubble,p_out_of_league,sc_top_words,sc_words_against,sc_feat_consensus,sc_feat_round,sc_feat_position,sc_feat_beast_rank,sc_feat_text_length,sc_top_measurable,sc_top_measurable_contrib,draft_prediction,p_slide,p_consensus,p_reach,draft_top_words,draft_words_against,draft_feat_consensus,draft_top_measurable,draft_top_measurable_contrib,pred_apy_pct,pred_apy_pct_lo,pred_apy_pct_hi,p_real_contract,expected_apy_pct,apy_top_words,apy_words_against,apy_feat_consensus,apy_feat_round,apy_feat_beast_rank,apy_top_measurable,apy_top_measurable_contrib
Fernando Mendoza,QB,Indiana,1,beast,cornerstone,33.6,33.4,10.6,22.3,tight(+0.0057) | read(+0.0041) | offense(+0.0029) | to be(+0.0028) | ball(+0.0028),throw(-0.0039) | national(-0.0037) | at all(-0.0035),0.5987,0.3646,-0.3541,0.3391,-0.09,weight,-0.1696,consensus,33.8,64.7,1.5,history(+0.0058) | high(+0.0057) | football(+0.0055) | coverages(+0.0053) | every(+0.0050),heavy(-0.0084) | take(-0.0073) | his legs(-0.0055),1.4072,weight,-0.0909,0.85,0.749,0.952,67.0,0.57,tight(+0.0002) | take(+0.0002) | himself(+0.0002) | indiana(+0.0002) | high(+0.0001),routes(-0.0003) | throws(-0.0002) | throw(-0.0002),0.0342,-0.048,0.0356,height,-0.0059
Arvell Reese,LB,Ohio State,2,beast,cornerstone,48.3,24.0,9.0,18.7,ends(+0.0063) | tight ends(+0.0042) | taking(+0.0035) | tight(+0.0030) | blocks(+0.0030),edge(-0.0054) | ohio(-0.0049) | ohio state(-0.0040),0.5958,0.3646,0.2171,0.3391,-0.1308,vert_jump,-0.5503,slide,54.4,43.5,2.1,font(+0.0050) | take on(+0.0050) | hard to(+0.0047) | tall(+0.0047) | take(+0.0046),edge(-0.0086) | closing(-0.0077) | need(-0.0071),0.6856,height,0.2213,0.874,0.773,0.975,72.3,0.632,linebacker(+0.0003) | ends(+0.0002) | since(+0.0002) | outside linebacker(+0.0001) | james(+0.0001),rusher(-0.0001) | movements(-0.0001) | length(-0.0001),0.0341,-0.048,0.0356,wingspan,0.0168
David Bailey,EDGE,Texas Tech,3,beast,53_man,14.6,47.3,27.9,10.2,offensive(+0.0045) | edge(+0.0039) | around(+0.0034) | the edge(+0.0033) | offensive linemen(+0.0033),blockers(-0.0048) | defender(-0.0040) | run defender(-0.0039),-0.2238,-0.19,0.1304,-0.0982,0.0706,broad_jump,0.5297,slide,84.7,14.6,0.7,struggles to(+0.0067) | struggles(+0.0064) | font(+0.0056) | arm(+0.0056) | take on(+0.0055),edge(-0.0078) | blocks and(-0.0066) | 14(-0.0061),0.6822,broad_jump,1.5505,0.858,0.756,0.959,61.9,0.531,phillips(+0.0003) | pounds(+0.0002) | have(+0.0002) | to be(+0.0002) | sacks(+0.0001),rusher(-0.0002) | after(-0.0001) | drive(-0.0001),0.0339,-0.048,0.0335,hand,-0.0412
Jeremiyah Love,RB,Notre Dame,4,beast,cornerstone,68.9,7.4,5.0,18.7,slot(+0.0071) | the slot(+0.0055) | years(+0.0043) | per(+0.0042) | over the(+0.0035),jump(-0.0044) | the passing(-0.0030) | passing game(-0.0027),0.5898,0.3646,0.093,0.3391,-0.107,wingspan,0.7829,consensus,39.2,60.2,0.7,dame(+0.0104) | notre(+0.0104) | notre dame(+0.0104) | combination(+0.0075) | behind(+0.0071),2024(-0.0055) | ability to(-0.0052) | fbs(-0.0049),1.3863,arm,0.1071,0.902,0.801,1.0,76.3,0.689,just(+0.0002) | allowed(+0.0002) | defenders(+0.0002) | perimeter(+0.0002) | touchdowns(+0.0002),routes(-0.0003) | air(-0.0002) | the air(-0.0002),0.0337,-0.048,0.0356,wingspan,0.0304
Francis Mauigoa,OT,Miami (FL),5,beast,cornerstone,39.9,21.0,15.3,23.7,ends(+0.0045) | blocks(+0.0036) | skill(+0.0035) | blocker(+0.0034) | games(+0.0031),inside(-0.0056) | stays(-0.0054) | stay(-0.0048),0.5869,0.3646,-0.2474,0.3191,-0.0537,vert_jump,-0.2938,slide,89.9,9.5,0.6,drive(+0.0079) | attempting(+0.0065) | when attempting(+0.0062) | attempting to(+0.0062) | tackle(+0.0060),past three(-0.0072) | three(-0.0067) | gets(-0.0056),0.6754,broad_jump,1.4087,0.905,0.803,1.0,61.0,0.552,right tackle(+0.0002) | guard(+0.0002) | rushers(+0.0002) | blocker(+0.0002) | in pass(+0.0002),drive(-0.0003) | stays(-0.0003) | stay(-0.0001),0.0336,-0.048,0.0335,hand,-0.0477
Sonny Styles,LB,Ohio State,6,beast,cornerstone,62.0,13.6,4.0,20.4,tight ends(+0.0093) | ends(+0.0084) | slot(+0.0072) | tight(+0.0067) | in man(+0.0057),combine(-0.0038) | ohio(-0.0037) | so he(-0.0036),0.5839,0.3646,0.2171,0.3391,-0.1074,wingspan,0.6922,consensus,42.9,55.9,1.2,weight(+0.0062) | so(+0.0058) | pro(+0.0054) | outstanding(+0.0053) | dame(+0.0050),font(-0.0096) | linebacker(-0.0082) | grade(-0.0071),1.3723,3cone,0.2197,0.867,0.766,0.968,75.6,0.655,tight ends(+0.0003) | linebacker(+0.0003) | ends(+0.0002) | tight(+0.0002) | pro(+0.0002),routes(-0.0002) | combine(-0.0002) | ball(-0.0002),0.0334,-0.048,0.0356,hand,-0.0369
Rueben Bain,EDGE,Miami (FL),7,beast,53_man,24.7,49.7,3.5,22.1,tackle(+0.0053) | the edge(+0.0040) | arms(+0.0037) | offensive(+0.0035) | edge(+0.0034),games(-0.0046) | of attack(-0.0043) | point of(-0.0040),-0.2193,-0.19,0.1304,-0.0921,0.0773,wingspan,0.3779,consensus,32.7,64.8,2.4,weight(+0.0061) | player(+0.0058) | awareness(+0.0057) | isn(+0.0054) | high school(+0.0053),font(-0.0094) | grade(-0.0069) | thick(-0.0065),1.3654,arm,-0.1563,0.872,0.771,0.974,74.4,0.649,tight(+0.0002) | school(+0.0002) | four(+0.0002) | made(+0.0002) | high school(+0.0002),awareness(-0.0002) | rusher(-0.0002) | after(-0.0001),0.0332,-0.048,0.0314,hand,0.0426
Carnell Tate,WR,Ohio State,8,beast,cornerstone,46.6,9.8,26.8,16.7,one of(+0.0043) | fbs(+0.0040) | percent(+0.0038) | ball(+0.0033) | receiving(+0.0033),press(-0.0053) | point(-0.0034) | press coverage(-0.0031),0.578,0.3646,0.0618,0.3391,-0.0604,vert_jump,-0.5018,consensus,41.6,57.6,0.8,best(+0.0062) | because of(+0.0056) | touchdown(+0.0055) | dirty(+0.0054) | because(+0.0053),fbs(-0.0063) | vertical(-0.0050) | tall(-0.0048),1.3584,vert_jump,0.102,0.869,0.768,0.97,56.4,0.49,percent(+0.0001) | rather(+0.0001) | rather than(+0.0001) | just(+0.0001) | pro(+0.0001),targets in(-0.0002) | air(-0.0002) | the air(-0.0002),0.0331,-0.048,0.0356,hand,-0.0667
Caleb Downs,S,Ohio State,9,beast,cornerstone,39.0,38.5,2.4,20.1,punt(+0.0083) | return(+0.0066) | safety(+0.0053) | man coverage(+0.0039) | with an(+0.0037),ohio(-0.0042) | ohio state(-0.0034) | passing(-0.0033),0.575,0.3646,0.0991,0.3391,-0.0709,wingspan,-0.4983,consensus,33.9,62.4,3.8,coverages(+0.0095) | would(+0.0066) | alabama(+0.0061) | high(+0.0060) | was(+0.0060),2024(-0.0051) | into(-0.0044) | defense(-0.0041),1.3514,arm,-0.0883,0.81,0.709,0.912,77.6,0.629,punt(+0.0002) | breakups(+0.0002) | high(+0.0002) | didn(+0.0001) | downhill(+0.0001),routes(-0.0003) | how(-0.0003) | cornerback(-0.0002),0.0329,-0.048,0.0356,wingspan,-0.0193
Mansoor Delane,CB,LSU,10,beast,53_man,27.6,38.1,23.1,11.1,zone(+0.0068) | cornerback(+0.0058) | lsu(+0.0052) | outside(+0.0046) | which(+0.0033),coverage and(-0.0039) | percent(-0.0031) | past two(-0.0031),-0.216,-0.19,-0.1473,-0.1044,0.0381,arm,-0.2042,consensus,47.7,50.8,1.5,zero(+0.0081) | zone(+0.0069) | football(+0.0065) | special teams(+0.0055) | field goal(+0.0054),starting(-0.0063) | in coverage(-0.0061) | some(-0.0041),1.3445,arm,-0.1023,0.843,0.742,0.944,65.7,0.554,slot(+0.0003) | just(+0.0002) | the slot(+0.0002) | allowed(+0.0002) | zero(+0.0002),cornerback(-0.0005) | routes(-0.0003) | air(-0.0002),0.0327,-0.048,0.0356,hand,0.0204
Monroe Freeling,OT,Georgia,11,beast,53_man,30.1,32.6,14.2,23.1,tackle(+0.0064) | balance(+0.0048) | sets(+0.0042) | his balance(+0.0042) | long arms(+0.0041),season(-0.0033) | defenders(-0.0033) | himself(-0.0032),-0.2148,-0.19,0.1025,-0.0921,0.0228,wingspan,-0.3505,consensus,42.4,56.0,1.6,dame(+0.0059) | notre(+0.0059) | notre dame(+0.0059) | counters(+0.0056) | half(+0.0056),late(-0.0081) | drive(-0.0077) | vs(-0.0058),1.3375,arm,0.0686,0.878,0.777,0.979,62.7,0.551,rushers(+0.0002) | himself(+0.0002) | just(+0.0002) | season(+0.0002) | the second(+0.0002),drive(-0.0004) | upright(-0.0002) | after(-0.0002),0.0325,-0.048,0.0314,hand,-0.0567
