"","full_name","school","blurb1","blurb2","pros_a_cons"
"1","Ian Book","NOTRE DAME","Ian Book was considered just a three-star recruit coming out of California’s Oak Ridge High School in 2016. He received five scholarship offers, per 247Sports: Washington State, UNLV, Idaho, Boise State and Notre Dame. Throughout his time at Oak Ridge, he accumulated 7,632 passing yards and 78 touchdowns. He finished his high school career with a 64.6% completion percentage (603-of-934) and also rushed for 779 yards and 12 touchdowns on 79 carries as a senior. School","Book first saw action back in 2017 when he would spell struggling starter Brandon Wimbush. He took the reins of the offense the next season and hasn't looked back since. Book was always been solid by college football standards, but he never really made the leap to legitimate NFL prospect. His IAN BOOK arm strength is well below average, and he doesn't make up for that deficiency in any meaningful way. It was already an issue many of the times he faced high-level competition throughout his career.","Gamer who rose to the occasion in . Huge down the stretch in win over Clemson. Touted by those around the program for his intangibles. Light on his feet. Thrived on second-reaction plays. Locks in on one receiver routinely. So slow to come off. Well below-average arm strength for the . Book hasn't shown he can operate with the timing necessary to see Not athletic enough to pull escape artist acts in the field in the . He has below-average arm talent. the . Has to see it to throw it. Few throws in rhythm/timing."
"2","Shane Buechele","SMU","Buechele went to Lamar High School in Arlington, Texas, and played both baseball and football. He drew two all-state and three all-district selections as he passed for 6,379 yards and 73 touchdowns and rushed for 1,805 yards and 21 touchdowns in his career. Buechele was a consensus four-star recruit, and while he pondered his decision, Texas offered another 10 quarterbacks, forcing him to commit soon after. He became the first Longhorns player to start multiple games as a true freshman (12) before suffering multiple injuries in 2017 that led to his eventual benching in favor of Sam Ehlinger. In 2019, Buechele chose to transfer within the state of Texas to SMU, which initially offered him in 2015. Buechele’s father, Steve, played 11 years in the MLB School and was roommates with Hall of Fame quarterback John Elway while at Stanford.","It was Buechele who started in the now-infamous ""Texas is Back, folks"" win over Notre Dame in 2016. That was the high point of his Texas career, though, as he never quite lived up to expectations after that. However, Buechele's comfort level noticeably improved after transferring to SMU, and his SHANE BUECHELE natural gunslinger talent took over. Even though he was without James Proche and Reggie Roberson for much of the year, Buechele still put up the most efficient season of his career. He's got more competition will be his biggest concerns.","Gunslinger. Always looking for the big play. Terrific natural zip in his arm. Can make downfield throws even on the move. Has improved mightily in taking care of the football. Numbers would have looked better if not for absurd % drop rate from receivers. Feels like he's always in a hurry. Pressing nature to his game. Falls away from too many throws unnecessarily. While Buechele was a fun college player, he'll have an uphill climb to Ball placement and accuracy have been make an roster. consistent issue throughout career. Competition level and Air Raid offense not terribly translatable."
"3","Sam Ehlinger","TEXAS","A native to Austin, Texas and standout signal-caller as Westlake High School, Sam Ehlinger received five offers as a four-star recruit in the 2017 recruiting class: Texas, Florida State, Houston, McNeese State and SMU. He ultimately committed to the Longhorns over the Seminoles and started his collegiate career as an early enrollee. A three-year starter at Westlake, Ehlinger finished his preps career as the school’s all-time leader in passing yards (7,491) and touchdowns (89) despite battling injuries as a senior. School","While Ehlinger steadily improved over four years as the starter at Texas, there was never a ""next level"" to his game. He scrambles far too often for a quarterback who just won't be able to get away with that in the NFL, and he rarely fit balls into tight windows down the field. He's the type of SAM EHLINGER prospect who's not going to be coveted because of his tools. At that point, you have to perform better than he did this past season to catch the NFL's eye.","Unafraid to attack middle of the field. Thrives in that area. Four years of starting experience with , career dropbacks. Takes care of football. Only turnover-worthy plays on dropbacks past two years. Pocket presence will be a problem. Bails on clean pockets. Middling arm with no zip at the intermediate range. There's not a lot about Ehlinger's game that gets you excited about Scrambling is massive part of his game, but not how he'll look in an offense. the athlete to do so in the . Grading took a massive step backward this season despite no fans in stands."
"4","Justin Fields","OHIO STATE","Justin Fields was ESPN’s top recruit ahead of Trevor Lawrence but was listed at No. 2 behind the Clemson commit by 247Sports and Rivals. Fields received more than 40 scholarship offers and took official visits to LSU and Alabama, among others, before committing to Penn State. He later decommitted to stay in state and commit to Kirby Smart and Georgia. Fields totaled 4,187 passing yards, 41 passing touchdowns, 2,096 rushing yards and 28 rushing touchdowns in two seasons as a starter at Harrison High School. He was named the 2017 Class 6A Offensive Player of the Year and School took home 2018 Mr. Georgia Football honors the following year. He also played shortstop and second base for the varsity baseball team.","You'll hear about the knocks on Fields throughout this draft process, from the track record of Ohio State quarterbacks to his ugly games against Indiana and Northwestern to his slow processing and decision-making. I'm not here to say those concerns aren't valid, but the physical tools and JUSTIN FIELDS leadership he brings to the position are too great to ignore. Over the course of his career, Fields has been one of the most accurate quarterbacks we've ever charted. In his first game against Nebraska combo.","Hasn’t ever been anything other than deadly accurate in college. Exceptional at protecting the football. Only turnover-worthy plays in his career. Dynamic in the running game. Can run over defensive backs and outrun linebackers. Consistently attacked downfield, as % of passing yards came through the air. Playspeed a tick slower than where you'd like. When in doubt, he holds the ball. Receivers run wild in Ohio State's offense. Only career tight-window completions. Fields obviously put some ""bad"" on tape this year, but talent should Blitz recognition was an issue in . His time to win out in this evaluation. He's got a complete skill set. throw increased vs. blitz. He's mobile, but his accuracy suffered on the move. Won more from pocket."
"5","Feleipe Franks","ARKANSAS","Feleipe Franks was a coveted four-star quarterback recruit coming out of Florida’s Wakulla High School in 2016. He received more than 20 scholarship offers, including Florida, Alabama, LSU and Clemson, among others. He threw for 2,766 yards and 35 touchdowns as a senior while also serving as the team’s kicker and punter. He also played baseball throughout high school and was drafted with the 947th pick by the Boston Red Sox in the 2019 MLB amateur draft. His brother, Jordan, played wide receiver at Wakulla and signed with UCF in 2014. School","Before 2020, it would have taken a lot of convincing to even include Franks in a draft guide after what we saw from him in his three years at Florida. This past season at Arkansas, however, we saw a decidedly different Franks. His 61.7% on-target rate for passes targeted less than 10 yards from the FELEIPE FRANKS line of scrimmage ranked 58th out of 78 qualifying quarterbacks in 2020. He was so much better at taking good chances with the football downfield, and it showed in his numbers. The same buckshot throw anything other than a fastball and he crumbles when facing with pressure.","Cannon. Owns the farthest throw we've charted in college (Hail Mary vs. Tennessee, ). Easy arm strength on the move as well. Doesn't have to be stationary to deliver strikes. Prototype size at -foot-, over pounds. Showed massive improvement at Arkansas compared to his time at Florida in terms of downfield accuracy. Underneath ball placement is very erratic. Not going to operate a quick passing offense. One speed thrower. Tries to throw with touch but accuracy suffers. With Franks, you're drafting pure arm strength hoping you can fix a Freezes under pressure. Limited escapability. Very lot of things that are typically tough to fix. high sack conversion rate. Slow to get off first read when it's not there."
"6","Mac Jones","ALABAMA","Jacksonville, Florida, native Mac Jones received more than 20 scholarship offers as a three-star quarterback recruit coming out of The Bolles School in 2017. He originally committed to Kentucky but flipped to Alabama shortly after an official visit with the Crimson Tide. In his senior season at TBS, Jones threw for 1,532 yards and 29 touchdowns to lead the team to a Florida 4A State Championship. School","IOL OT Jones is the wild card of the quarterback class. He produced out-of-this-world stats that hold up to Joe Burrow's from a season ago, which will make many ask why he's not getting the same level of hype. The answer is that even though Burrow's team was loaded with NFL talent, Jones' situation MAC JONES was still far more favorable. The Bama quarterback completed 44 passes into tight windows all Tide's offense and also displayed good accuracy, but his job will get way harder next season.","Operated one of the most dominant offenses in college football history. Veteran understanding of the offense. The timing of his throws was meticulous. Doesn't miss underneath. The most accurate in the nation within yards. Calm in pocket under pressure. Four career TWPs on pressured dropbacks. Middling arm. Underthrew a number of deep balls but got away with it because of his WRs. more yards than anyone in the country to open receivers. Offense made it easy. Jones is a very difficult projection, but he's not purely a product of Offers almost nothing as a runner or outside of his offense. He has a bevy of translatable skills. structure. One year of elite play as a senior."
"7","Trey Lance","NORTH DAKOTA ST","Per 247Sports, Trey Lance received just seven scholarship offers coming out of Minnesota’s Marshall High School in 2018: Western Michigan, South Dakota State, Northern Illinois, Cornell, Brown, Boise State and North Dakota State. He was a three-year starter at quarterback and safety for Marshall, where he totaled 1,386 passing yards and 14 touchdowns as a senior while rushing for 641 yards and another 10 touchdowns. His father, Carlton, played for Southwest Minnesota State and later in the CFL. Minnesota, Iowa and Iowa State showed interest in Lance, but none were willing to School offer him at quarterback.","In an utterly loaded class, Lance may have more pure physical talent than all of these QBs. However, quarterback is still a performance position, and that's where Lance will be a difficult eval. Operating a run-heavy offense against FCS competition is a massive difference from operating a TREY LANCE pass-happy system against an NFL defense. But even with some accuracy issues, Lance still has a high floor because of his rushing ability. He is a battering ram with the ball in his hands and will be a it 70-plus yards downfield in a flick, and it's scary to think what he could become.","Monster arm. The ball explodes to any level he ( Data – No Ranks or Percentiles) wants. Tight end build and athleticism. Weapon in short yardage and in run game overall. So few bad decisions on tape. No picks and only four turnover-worthy plays in . Wants to attack downfield. Had an -yard average depth of target over his career. Hard to find many anticipatory throws on tape. Hesitant to let it rip. Knows he can run. Noticeable dip in his throwing motion that defenses can key in on. Lance is a rare physical specimen at the position. Lance could do Protected as a passer. Averaged pass attempts damage in a -run/play-action-heavy attack. a game in (lone year as starter). Some of the worst ball-placement numbers among the top QBs. Accuracy is an issue."
"8","Trevor Lawrence","CLEMSON","Trevor Lawrence was the No. 1 recruit in the country by 247Sports and Rivals and the No. 2 recruit by ESPN in 2018, per Clemson’s official site. And the accolades/claims to fame don’t stop there. He was also the USA Today National Offensive Player of the Year, U.S. Army Player of the Year as a junior and senior at Georgia’s Cartersville High School. He started all four years, won two state titles and finished his preps career with a 52-2 record. At Cartersville, he broke Deshaun Watson’s high school records in career passing yards (13.908) and passing touchdowns (161). He ultimately chose Clemson School over in-state Georgia among 20-plus other offers.","The hype is all warranted. It's a special quarterback class, but there's still a clear gap between Lawrence and everyone else. He's the only quarterback in the PFF College era to grade over 90.0 overall as a true freshman, and he's repeated that feat in both years since. This year, despite having TREVOR LAWRENCE what was easily the worst offensive line and group of receivers he's ever had, Lawrence still put up a career-high 91.2 overall grade and showed continued growth. Most notably, his accuracy saw a","Every game is a laser show. Has the arm strength to open up the entire field. Unparalleld processing speed as well as coverage/blitz recognition. Pocket presence and manipulation already at an level. Rarely takes sacks. Sneaky wheels. Will outrun linebackers in space. Won't give up on plays. Some ugly forced throws outside the pocket. Air-mail tendency. Came to a head vs. as sophomore. Not the most pinpoint passer. We've seen more accurate prospects in seven years of doing this, Can get locked onto his first read too much. but we haven't seen a more complete one. Knows talented corps usually wins."
"9","Davis Mills","STANFORD","Mills ended his career at Greater Atlanta Christian School with a plethora of accolades, including three all- state honors, 2017 US Army All-American, top-rated quarterback at the Elite 11 finals and five-star marks from Rivals, Scout and 247Sports. He posted 6,290 career passing yards and 66 touchdowns — both school records — and 898 rushing yards and 23 touchdowns before the conclusion of his senior season. His individual numbers also led to team success, as Greater Atlanta Christian School won three regional titles and was runner-ups in two state championships. Mills received 30 offers, including from Alabama, USC and Georgia, but he ultimately chose to continue his football career at Stanford University. School","After sitting on the bench for two seasons at Stanford, Mills finally got the call when K.J. Costello went down with an injury in 2019. He played well enough to force Costello to transfer for the 2020 season. However, he didn't quite take a significant next step in his development in 2020 on a limited DAVIS MILLS sample. A former top recruit, Mills has a lot of prototypical pocket-passer traits. With how swiftly he operated Stanford's offense, it's easy to see him being able to handle an NFL one. That said, he still","Shows a little zip from the pocket. -caliber arm strength. Showed accuracy to all levels of the field. 12th- highest rate of passes charted as accurate. Very little hesitation on tape. Ball comes out of his hand quickly. Ball placement suffers considerably without his feet set. Limited experience. Only career dropbbacks. Mills' ability to operate quickly within an offense will appeal to Too many bad decisions. turnover-worthy plays evaluators, but there's no real high end to his game. past two years. Not mobile or even nimble in the pocket."
"10","Kellen Mond","TEXAS A&M","Kellen Mond received more than 15 scholarship offers coming out of IMG Academy in 2017. He was tagged as a four-star dual-threat quarterback recruit (247Sports) and opted for Texas A&M over offers from Baylor, Auburn, Arizona State, among others. He originally committed to Baylor and held offers from Auburn and Ohio State in high regard, but the Aggies did just enough to land him. Mond is originally from San Antonio, Texas and lettered at Texas’ Reagan High School before transferring to IMG Academy for his senior year. He set IMG Academy records for passing touchdowns (20) and School rushing touchdowns (18) as a senior in 2016. He also threw for 1,936 yards and rushed for another 775 that season.","Kellen Mond was a popular preseason breakout candidate in 2019 and 2020 because of his tools and Jimbo Fisher's offense. While 2020 proved to be his best season yet, it hardly qualified as a breakout — his percentage of throws charted as accurate actually went down to a mediocre 53.4%, KELLEN MOND and it wasn't as if he was attacking more down the field. Mond finished with only 12 big-time throws all year. It's difficult to say if we actually saw any progression from Mond or if he just played behind","Able to play on the move. His accuracy doesn't suffer outside the pocket. Pro-style concepts in Jimbo Fisher's offense that give him a chance to showcase skills. Has improved pocket presence over career. Avoided sacks well in . One of the most experienced quarterbacks in the class. A total of , career dropbacks to his name. Inconsistent with anticipation and timing over the middle of the field. Average accuracy at best, and his numbers haven't seen improvement. After years of hoping for a next step, Mond still So few special throws down the field on tape. He looks like just a guy. rarely attacked deep. Arm strength not going to ""wow"" anyone."
