"","full_name","blurb","pros","cons","where_wins","what_role","what_improve","bottom_line"
"1","Matt Corral","Corral played for the Rebels as both a freshman and sophomore, but his career didn't take off until Lane Kiffin came to Oxford. Kiffin's offense took advantage of Corral's athleticism, rocket arm and quick release. The RPO-heavy offense attacked every level of the field, and Corral saw his grade take a massive leap. However, the offense isn't particularly translatable to the NFL, meaning Corral still comes with some question marks. He used play action on 60.4% of his dropbacks in 2021, the highest rate in the FBS.","Athlete who happens to play quarterback. Mobility is a big plus. Compact motion. Generates serious torque during his throwing motion. Stands tall in the pocket and rips from a consistent base. Accurate to all levels.","Slim frame. Listed at 205 pounds. Already dealt with multiple injuries in 2021. Not much throw shaping on his tape. Lasers only. Looks like a different quarterback and lacks confidence when forced past first read.","DIST R IBU T IN G Corral is at his best when playing point guard — distributing the ball quickly and swiftly to all levels of the field. NFL OC's will take advantage of his timing and accuracy in the RPO and quick passing game.","P LA Y BOOK OP EN ER Corral has serious tools that any offensive coordinator would love to try and mold. He also needs some serious molding, though. He's a project who needs to learn behind a veteran early in his career.","T OU CH Corral was hardly asked to run dropback passing concepts at Ole Miss. He is exceptional on simple rhythm concepts/RPOs, but when asked to expand his vision and identify where to go with the ball, his play suffers.","Drafting Corral should be seen as an investment, not a quick fix to a team’s passing offense."
"2","Kaleb Eleby","Eleby first got starting experience as a true freshman back in 2018 when an injury to starter Jon Wassink forced him into action against Toledo late in the year. He earned a 63.7 overall grade in five games before ceding that starting job back to Wassink in 2019. Once the job was his again in 2020, Eleby was a revelation. He earned a 91.5 passing grade in six games throwing to the likes of 2021 2nd-round pick Dee Eskridge and potential 2022 1st-rounder Skyy Moore. He couldn't sustain that for a full season in 2021, however, as he started putting the ball in harm's way more. Maryland Heights, MO","Works pockets confidently. Consistently climbs with eyes downfield. Can hit drive throws downfield when he steps into it. Some impressive lasers on tape. Attacking mentality while still taking care of the football. 11.0 yard ADoT in career.","Erratic ball placement. Gets amplified off- platform or on the move. Short with compact frame. Not going to do him any favors. Panicky under pressure. Can visibly see everything speed up.",NA,NA,NA,"Eleby may not have the ideal developmental skillset, but he has sustained performance with an NFL-caliber arm."
"3","Sam Howell","Howell has started from Day 1 for the Tarheels. As a freshman in 2019, he put up the second-highest graded season we've charted from a true freshman quarterback, behind only Trevor Lawrence. He built upon that with a superb sophomore campaign, where he racked up impressive throw after impressive throw. After losing his top two receivers and rushers from 2020, Howell and the Tar Heels offense took a massive step Slower back in 2021. He countered by running Russell more than ever and went for 1,106 yards on Wilson the ground. Monroe, NC","Arm talent for days. Elite deep ball thrower over course of his career. Light on his feet in the pocket. Can make subtle and not so subtle moves to buy time. Thick build. Shrugs off defenders with relative ease with 65 broken tackles in 202.","One and run. First instinct is to drop eyes and bolt. Inexplicably turns down open receivers too often. Not enough anticipatory throws. Offense was almost all RPOs and go-balls, leading the nation in both.","A R M T A LEN T From his arm to his mentality, Howell is a downfield passer. He's one of the most prolific we've seen in the PFF College era (2014-present). He'll have to go to an offense that's willing to attack downfield regularly.","DOWN F IELD P A SSER No page of the playbook is off limits with Howell. He has the arm for any passing concept, can run between the tackles and also create on his own outside. While he is a project in some ways, he could still start early on.","P R OG R ESSION S Howell can't be so reliant on scrambling at the next level — 13% of his dropbacks resulted in scrambles in 2021. He's not that kind of athlete. He has to be more patient and quicker through progressions from clean pockets.","Howell has his areas for growth, but his sheer physical tools are undeniable. He has more to offer than what was showcased in the Tar heel's offense."
"4","Kenny Pickett","Pickett has been on the NFL's radar for quite some time. He took over as the starter as a sophomore in 2018 and would undoubtedly have been drafted had he come out in 2019 after earning a 75.0 overall grade. It just would have been somewhere on Day 3. That's where his draft stock lay dormant until this past season when Pickett took an unprecedented leap in year four as a starter. He saw his big-time throw rate nearly double from 2020 and his turnover-worthy play rate hit a career low. Oakhurst, NJ","Accuracy on the move is a big plus. Pinpoint outside the pocket. Can sting a far hash out route with ease. Obvious arm talent from pocket and on move. Mobile but always has his eyes downfield. Terrific at creating space to work.","Holds the ball until the bitter end. Second- highest time to throw in the country. Bad habit of throwing off back foot. Worrisome how often he does so on vertical shots. One-year wonder. One of the biggest single- season grading leaps we've seen in Year 5.","QB F EEL Pickett has a natural feel that's uncoachable in a lot of ways. Whether it's throwing guys open, understanding receiver leverage, avoiding the rush or keying blitzes, Pickett gets a lot of the little things already.","A LL- A R OU N D QB Between his combination of experience and NFL-translateable skills, Pickett is as ready as any quarterback in the draft class to start out the gate. The question is: How high is his ceiling?","P R OCESSIN G SP EED He has to speed up his process in the league. He'll work through reads under the assumption he can always buy himself more time. ""Ball out"" has to be his first thought at the next level instead of ""break pocket.""","Pickett has enough lingering questions to scare teams off, but his 2021 tape didn't have a ton of holes."
"5","Brock Purdy","Purdy was a revelation as a true freshman in 2018. He took over as the full-time starter in Week 6 of that season and finished with an 89.3 overall grade in nine games with only one of those against a non-power-5 opponent (and it was his lowest-graded game that year). That year, though, he had Hakeem Butler hauling in his deep balls. Ever since, he's struggled mightily to produce down the football field and it's been reflected in his plateaued grades. He went from an 8.3% big-time throw rate as a freshman to 4.2% as a sophomore, to 3.4% as a junior, and finally 2.4% as a senior. Gilbert, AZ","Agile and aware in the pocket. Extremely low 12.9% career sack conversion rate. Plus accuracy. Highest on-target rate of any QB in the draft class last year. Quick, tight release that can get the job done on the move as well.","Arm strength is borderline by NFL standards. Already limited downfield in college. Field vision narrows far too often. Tunnel in on his guys and slow to come off. Plays tight. Few calculated risks. Will speed up internal clock and check down too often.",NA,NA,NA,"Purdy won't look too out of place in an NFL offense, but he also won't elevate above if thrown into a bad situation."
"6","Desmond Ridder","Ridder is now synonymous with the rise of Cincinnati football as he's been at Cincinnati all five years of the Fickell era, starting the last four. He had a Jalen Hurts- esque career progression from true freshman to senior year, as he went from a player who looked undraftable early on to one who consistently won from the pocket later in his career. He's done a tremendous job of improving upon his weaknesses every single year, and you see that in his grade Louisville, KY","Quick processor. Best in the class. Already plays at NFL speed mentally. Straight-line gas in the open field. Big-play threat as a runner if unaccounted for. Coaches rave about his work ethic and leadership. Has improved weaknesses every year.","Slightly elongated throwing motion. Little dip in his cocking phase. Thin frame. Not as elusive as other, which has led to high sack conversion rates. Beat up bad competition. 70.6 passing grade against Power-5 schools last two years.","P R OCESSIN G SP EED Ridder is a decisive and quick pocket-passer who has good enough arm talent to hit defenses over the top. While he's not much of a runner himself, his speed demands that he's accounted for.","QU ICK P A SSER Ridder isn't scheme limited by any means. He can step in Day1 and not look out of place as a starter. Utilizing his legs as a weapon is a plus but isn't necessary for him to succeed at the next level.","BA LL P LA CEMEN T Ridder's ball placement is still below-average by NFL standards, and it often is even worse early in games. He's too refined technically for this to dramatically change.","Ridder is the most NFL-ready quarterback in the class and still has areas for growth. In a class full of developmental QBs, he has the work ethic to bet on."
"7","Carson Strong","Strong dealt with degenerative knee issues coming out of high school, which limited his college offers to lower-tier programs despite upper-tier talent. At Nevada, he was starting by the time he was a redshirt freshman in 2019. Since then, he's blossomed into one of the most prolific passers in college football. Nevada put it all on his right arm in 2021, as he dropped back to pass nearly 50 times a game on Ryan Mal l ett average. His calling card is his ability to Wi th Touch drive the ball outside the numbers, and he earned a 91.1 passing grade on such throws last year. Vacaville, CA","Gorgeous tight spiral paired with quick release. Ideal combo for NFL windows. Arm talent opens entire field. Five 50-plus-yard completions — most in FBS. Offense was entirely on his right arm. 50+ dropbacks in six straight games.","Serious knee problems (Osteochondritis dissecans). Possibly career threatening. Statue. No escapability. Has broken just six total tackles in career. Pocket drifter. Too quick to eliminate options while drifting from non-existent pressure.","OU T SIDE T H E N U MBER S Strong has the coveted ability to consistently attack outside the numbers. His 91.5 passing grade on such throws is the highest among the top quarterbacks in the class. That only grows in value in the NFL.","P OCKER P A SSER Strong is a project pocket-passer who needs to go to a downfield passing offense. He has all the arm talent a team could want, but with little more in the way of polish for the position, he's likely a backup out the gate.","P OCKET MOV EMEN T To win solely from the pocket in the NFL, a QB has to be better at manipulating pockets than Strong. He needs to master subtle movements with his body and eyes to better avoid pressure and create throwing lanes.","Strong's knee issues will have him off some boards, but his play style should limit much of its effect. He's an intriguing arm talent project."
"8","Malik Willis","In his sophomore season, Willis went toe- to-toe with then-freshman Bo Nix for the starting quarterback position at Auburn back in 2019. Nix obviously won out, but Willis is getting the last laugh. He transferred to Liberty that fall and has been their starter the past two seasons. The Flames quarterback stuffed the stat sheets not only as a passer but as a runner, too. This past season, he broke more tackles (89) than any player on the ground, including running backs. He also put up the third-highest big- time throw rate we've charted in a single season (11.0%). Atlanta, GA","Arguably the strongest arm in the draft. Can get velocity from any body position. Adds massive value as runner. Draftable RB if he switched — 146 career broken tackles. Footwork improved a ton from 2020 to 2021. Has shown he can take coaching.","Base is woefully inconsistent. Has made strides, but it still shows up too often. Eyes telegraph his throws regularly. Will stare daggers through his targets. Level of competition was poor. Had some ugly outings against Power-5 defenses.","T OOLS Willis wins when playing schoolyard ball. His creativity on the move as both a thrower and runner is special. He can provide instant offense at any level of football.","A T H LET E Willis isn't a Day-1 starter and needs to go to an offense built around his legs. Parking him behind an established quarterback in that mold to get acclimated to the NFL game would be his best bet.","P OCKET P R ESEN CE Willis' pocket presence is still an issue. Slight pressure causes him to fully break out of play structure. Playing quicker and more on schedule have to be a point of emphasis.","Willis is a pure project due to all the tools in the world to work with. Developing him behind an established mobile quarterback would be ideal."
"9","Bailey Zappe","Zappe set records for three years at Houston Baptist before heading to Western Kentucky to set even more. He set single- season FBS marks for passing yards (5,967) and passing touchdowns (62) in his lone year with the Hilltoppers. While the numbers are gaudy, the situation was also set up for success. He was under pressure at the lowest rate of any quarterback in college football last season (12.9% of dropbacks). Victoria, TX","Creativity with his ball placement. Understands leverage and throws receivers open. Quick to scan. Often works back to opposite side of field while staying in rhythm. Handled insane volume with 730 dropbacks last year. Broke FBS yards and TD records","Below-average arm by NFL standards. Had a Hail-Mary from midfield come up short. Footwork suffers mightily when forced to move in pocket. Falls off a lot of throws. Had all day to work with massive pockets. Was pressured on only 12.5% of dropbacks.","G A MER Zappe is a gamer. He finds ways to get the job done and had a high command of the Hilltoppers offense. He'll have to dominate the quick game at the next level.","H IG H - EN D BA CKU P Zappe isn't a toolsy prospect. He's a glue guy backup who could develop into a starter. Competent backup play on a cheap rookie deal can still provide good value in the NFL.","P LA Y U N DER P R ESSU R E Zappe has to come up with better answers under pressure. The pockets he's going to work from in the NFL are tight, and his ability to handle those has to improve.","While he may not blow anyone away physically, Zappe won't look out of place on an NFL field. He figures to be at least a backup for a long time."
"10","Tyler Allgeier","Allgeier may look like a bruiser, but he's a little niftier than that moniker implies. To break tackles at the rate he has the past two seasons — even if the competition wasn't the greatest — one has to be. Despite having that elusiveness, Allgeier still knows who he is. He will rarely stop his feet behind the line of scrimmage or go searching for home runs. While he has the profile of a volume back, Allgeier still needs to clean up the fumbles after fumbling six times at BYU. Fontana, CA","No nonsense running style that's perfect for a bigger back. Vision is a plus. Always seems to be gaining ground toward the open hole. Outstanding pass-blocker. Finds work and eliminates threats.","Acceleration is lacking. Needs a runway to get a head of steam. Runs like a power back, but at only 220- pounds, he wouldn't qualify as one in the NFL Ran behind an insanely dominant BYU offensive line over the past two seasons.","N O- N ON SEN SE R U N N IN G Allgeier wins by consistently maximizing his run blocking. He's not going to pass up open holes searching for big plays. He'll get you what's blocked and a little extra.","Z ON E- SCH EME R B Allgeier would be perfect in a zone-heavy scheme to take advantage of his one-cut running style and vision. While he's not limited per se, that's easily his cleanest projection.","CR EA T IV IT Y Allgeier could stand to be more creative when he gets into the open field. He maintains his no nonsense running style in the open field and often seeks out contact instead of avoiding it.","There isn't much about Allgeier that makes you say 'wow,' but there's also not much to dislike, either."
