"","summary","pros_and_cons"
"1","Brosmer made his way to Minnesota after a successful career at New Hampshire, following his recruitment as a zero-star prospect out of high school. He doesn’t possess above-average NFL arm talent and will struggle to truly threaten defenses with his arm, though he does have decent zip on passes up to 30 yards. His lack of NFL height is noticeable when throwing over the offensive line, particularly over the middle of the field—there are reps where he’s visibly throwing on his tiptoes. However, he is generally a good decision-maker, especially in 2024, as he kept the ball out of harm’s way and avoided unnecessary sacks. His quick footwork and fast release allow him to navigate pressure well within the pocket.","Crisp footwork in dropbacks. Fluid, high-paced movements let him react quickly to pressure. Tough quarterback who can absorb contact. Displays decent zip on short and intermediate throws. Generally makes smart decisions with the football. Smaller-than-ideal frame, especially for a QB with limited mobility. Struggles with consistency under pressure. Arm strength is below average to average by NFL standards."
"2","Dart is a former four-star quarterback recruit who was not only a record-breaker on the gridiron—throwing 67 touchdowns to just four interceptions as a senior — but also a two-time all-state baseball player as a third baseman. He began his college career at USC but transferred to Ole Miss after Lincoln Riley brought in Caleb Williams. A natural athlete and solid playmaker, Dart has earned an elite passing grade over the last two seasons. His playing style is enticing — he is light on his feet in the pocket, capable of slipping sacks and possesses a decently quick release. His arm strength appears average by NFL standards. He is too comfortable throwing off his back foot, even when not under pressure. While his tape shows plenty of deep throws, his ball placement on those attempts leaves more to be desired. He is experienced in throwing concept routes that put a single defender in conflict (e.g., slant-flat, curl-flat, smash) but lacks anticipation when making full-field reads. His mobility is solid, and he is best suited for a shotgun-based system, having taken just eight snaps under center over the last two seasons.","Natural poise, both in and out of structure. Feet are light, balanced and ready to take off. Willingness to step up in the pocket. Above-average mobility/escapability. Average arm strength for the NFL level. Deep ball accuracy and touch is lacking. Eyes/anticipation must improve."
"3","Ewers is a former five-star quarterback and the No. 1 player in the 2021 recruiting class. He was also the 13th highest-ranked player in 247Sports history. His scouting report—both out of high school and now—starts with his unique arm talent. His high-point, explosive, sidearm release is something rarely seen. It allows him to attempt and complete impressive throws from all platforms. He also displays impressive touch, showcasing his natural playmaking ability when he isn’t overthinking. However, while his release is eye-catching, it is inconsistent. The timing and placement of the ball coming out of his hand are erratic, and his sloppy footwork only exacerbates the issue. He is skittish in the pocket, often muddying clean pockets himself due to poor awareness of when to step up and when to escape. As a result, he appears uncomfortable in clean situations. His accuracy on downfield throws is inconsistent. Despite this, he possesses the arm talent to be a three-level threat as a passer.","Has the arm talent to release the ball with zip and accuracy. Explosive, flick-of-the-wrist throwing motion. Has some truly special ""feel"" or touch throws. Backyard-football-type playmaker. Showed more confidence in 2024. Bad lower-body habits. Inconsistent throwing mechanics lead to inconsistent accuracy. Holds the ball low and loose in his stance."
"4","Gabriel has been on a long college football journey, but the road has led him to an ideal destination. A former three-star recruit and Gatorade High School Football Player of the Year for Hawaii, he traveled about as far from home as possible to play at UCF. After three years there, he transferred to Oklahoma for two seasons before finishing his career at Oregon. A natural left-handed passer, Gabriel is small—below the 10th percentile in both height and weight for the NFL level—but he simply knows how to play the position better than most, reminiscent of Bryce Young in that regard. He throws the most catchable passes in the class. His feet are lightning-quick, allowing him to reset for every throw, and his throwing motion is compact and efficient. He demonstrates a high IQ for the position, navigating the pocket smoothly and confidently while showing the ability to scan the entire field. His overall arm talent is limited and average at best for the NFL. He often has to put his entire body into his throws.","Quick movements for fast releases. Quick footwork in the pocket to avoid pressure. Does not panic under pressure. Knows how to get through his progressions, even under duress. Lefty quarterback, which can an adjustment for some receivers. Wide leg kick and open hips compromises accuracy on quick throws. Height will make middle-of-the-field throws a challenge in the NFL. Mobility is adequate for college but won't be as effective in NFL."
"5","Henigan is a former three-star quarterback who was a highly accomplished passer at Billy Ryan High School in Denton, Texas. Over his four-year high school career, he threw for more than 7,000 yards with over 70 passing touchdowns and just 14 interceptions. That starting streak continued at Memphis, where he has been the team's starting quarterback for the past four seasons. He is smaller in stature compared to NFL standards, which contributes to his below-average NFL arm talent. His throwing motion is compact and quick, but he has a tendency to short-arm his follow-through, which negatively impacts his accuracy. Henigan’s footwork on dropbacks is clean, but his lower-body mechanics can become erratic when throwing on the run. He also has a bad habit of retreating in the pocket and throwing off his back foot. His speed won’t be a difference-maker at the next level. That said, he plays with plenty of moxie, which makes him an intriguing player when the ball is in his hands.","Displays adequate NFL velocity on short/ intermediate throws. Experienced passer when targeting the middle of the field. Compact and quick throwing motion. Confident, moxie-driven play style. Tends to retreat too far and too often when pressured. Lower-body mechanics can be erratic on follow-throughs. Smaller stature with below-average overall arm talent."
"6","Howard is a former three-star quarterback who excelled in both football and basketball at Downingtown West High School, scoring over 1,000 points on the court. He committed to Kansas State, where he played for four seasons, earning sporadic starts in his first three years before locking down the full-time starting job in 2023. He then transferred to Ohio State, where he had his most effective and productive season, leading the team through the College Football Playoff. He brings adequate size to the pros, ranking above the 75th percentile in both height and weight. He is also a good athlete for his size, making him a viable threat on scrambles and RPOs. While his arm strength isn’t elite, it’s good enough to attack every level of a defense. He is experienced in reading all forms of coverage and is particularly comfortable throwing hole shots against Cover 2. His fundamentals are generally solid, though he has an elongated follow-through with his back leg.","Ideal NFL size for the position. Not hesitant to throw on the run and “be an athlete”. Above-average arm strength. Made every throw in the book at some point in 2024. Real experience under center. 35% of passes on third-and-long were short of the sticks. Some inconsistency with his release point, which affects accuracy. Not as experienced or confident throwing over the middle."
"7","Leonard is a former three-star quarterback from Fairhope, Alabama, where he was a two-sport athlete. He received basketball offers from Samford, Missouri State and North Alabama after averaging more than 20 points per game as a senior but ultimately chose football, committing to Duke. He made one start as a true freshman before becoming the full-time starter for the next two seasons, though he missed a significant portion of the 2023 season due to an ankle injury. He transferred to Notre Dame, where he helped propel the team to a College Football Playoff berth and eventually played for a national championship. Leonard is a well-built quarterback whose most alluring trait is his dual-threat ability. He is a battering-ram-style runner who isn’t afraid to take off, absorb hits and do the dirty work to move the chains. However, his passing remains too inconsistent. While he displays good throwing fundamentals, his accuracy and ball placement are issues.","Mobility and escapability are pluses to his game. Has some big plays when scrambling. Willing to go through progressions, front and back side. Can put adequate zip on short and intermediate passes. Consistent throwing fundamentals. Accuracy and ball placement are consistent issues. Pocket management is up and down. Velocity is better than distance."
"8","McCord was a high school football legend, winning three straight state championships and earning Pennsylvania Gatorade Player of the Year honors as a senior. He committed to Ohio State— alongside his high school teammate Marvin Harrison Jr.—and sat behind C.J. Stroud for two seasons before taking over as the full-time starter in 2023. After one year as the starter, McCord transferred to Syracuse for his final season. His play style is a mix of Baker Mayfield and Brock Purdy. He has the mindset of a gunslinger but lacks a true gunslinger arm. His feet are quick and light, allowing him to make throws on short notice with a quick release and follow-through, leading to a fast average time to throw over the last two seasons. He is a fiery competitor but remains relatively calm—or at least confident—in the pocket. McCord led the Power Five in big-time throws but ranked just 22nd in big-time throw percentage. Unfortunately, he also led the Power Five in turnover-worthy plays.","Light on his feet, constantly bouncing. Ideal throwing mechanics. Great touch passer, including over the middle. Smart football player who knows how to scan the field. Is a fiery competitor but looks calm in the pocket. Baker Mayfield mentality without a Baker Mayfield arm. Too comfortable throwing off his back foot and fading away. Arm strength appears below average to average for the NFL level."
"9","Mertz is a former four-star quarterback who led his team to back- to-back high school state championship appearances, winning the first and falling short in the second. He was named the Gatorade Kansas Football Player of the Year as a senior in 2018 before committing to Wisconsin. After redshirting his first season, he started the next three years before transferring to Florida, where he was the starting quarterback in 2023 and 2024 before tearing his ACL in Week 7. An older, experienced quarterback, Mertz’s decision-making reflects his extensive starting experience. He generally knows where to go with the ball and when to fire. He has ample experience operating under center from his Wisconsin days. Mertz possesses good size and adequate NFL arm strength, along with decent escapability. His experience serves him well under pressure. He reads defenses well pre-snap and does a good job manipulating defenders with his eyes while working through his progressions on time.","Fundamentally sound passer with consistent footwork. Strong understanding of pre-snap reads and progression timing. Adequate arm strength for the pro level. Effectively manipulates defenders with his eyes. Significant experience under center at Wisconsin. Accuracy declines when touch is required. His release causes ball placement issues. Struggled with deep-ball efficiency and accuracy in 2024."
"10","Milroe has one of the strongest arms in the class, and if he isn’t in the Tier 1 NFL arm category, he’s not far behind in Tier 2. That track background also makes him a lethal rushing threat. While his physical gifts make him an alluring prospect to invest in, his inconsistencies are why drafting and playing him early could end poorly. He is not consistently accurate. His twitchy throwing motion means that any deviation in his fundamentals can negatively impact ball placement. He also holds onto the ball too long, averaging over 3.00 seconds per dropback, leading to a high sack rate. He also struggles to read non-primary defenders — he can key in on one or two defenders pre-snap but fail to see the full coverage picture post-snap. Though he is a great athlete, his passing grades and efficiency on the run are poor. He does, however, post strong numbers on third-and-long, with more than 50% of his throws going beyond the sticks and a solid number of big-time throws.","Not just escapability but a true dual-threat athlete. Good enough athlete to force missed tackles in space. Twitchy athleticism evident in throwing motion speed. Can show really nice touch/accuracy on deep passes. Experienced RPO quarterback. Accuracy/decision-making variance is large right now. Holds the ball low and loose in his stance. Accuracy can dip when he takes speed off his throws. Time to throw/sacks taken is far too high."
