"Link","Name","Pos","Year","College","RAS","ALLTIME"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=31174&amp;ovl=BYU"">Link</a>","Garrison Grimes","LS","2026","BYU","10.00","10.00"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30165&amp;ovl=Ohio+State"">Link</a>","Lorenzo Styles Jr.","CB","2026","Ohio State","9.99","9.99"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29867&amp;ovl=Arkansas"">Link</a>","Taylen Green","QB","2026","Arkansas","9.99","9.99"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29994&amp;ovl=Georgia"">Link</a>","Monroe Freeling","OT","2026","Georgia","9.99","9.99"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30474&amp;ovl=Georgia+Tech"">Link</a>","Jordan Van den Berg","DT","2026","Georgia Tech","9.99","9.99"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29910&amp;ovl=Cincinnati"">Link</a>","Jeff Caldwell","WR","2026","Cincinnati","9.99","9.99"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29987&amp;ovl=Kansas"">Link</a>","Enrique Cruz Jr.","OG","2026","Kansas","9.99","9.99"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30114&amp;ovl=Ohio+State"">Link</a>","Sonny Styles","LB","2026","Ohio State","9.99","9.99"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30250&amp;ovl=Virginia+Tech"">Link</a>","Tomas Rimac","OG","2026","Virginia Tech","9.97","9.97"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=32328&amp;ovl=Arizona+State"">Link</a>","Jeff Sims","QB","2026","Arizona State","9.97","9.97"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30017&amp;ovl=Florida"">Link</a>","Jake Slaughter","OC","2026","Florida","9.97","9.97"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30006&amp;ovl=Georgia"">Link</a>","Micah Morris","OG","2026","Georgia","9.96","9.96"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30026&amp;ovl=Texas+AM"">Link</a>","Trey Zuhn III","OT","2026","Texas A&M","9.96","9.96"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29933&amp;ovl=Florida"">Link</a>","J. Michael Sturdivant","WR","2026","Florida","9.96","9.96"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30040&amp;ovl=Penn+State"">Link</a>","Dani Dennis-Sutton","DE","2026","Penn State","9.96","9.96"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30035&amp;ovl=Clemson"">Link</a>","DeMonte Capehart","DT","2026","Clemson","9.96","9.96"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29923&amp;ovl=North+Dakota+State"">Link</a>","Bryce Lance","WR","2026","North Dakota State","9.95","9.95"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30063&amp;ovl=Central+Florida"">Link</a>","Malachi Lawrence","DE","2026","Central Florida","9.95","9.95"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30164&amp;ovl=Arizona"">Link</a>","Treydan Stukes","CB","2026","Arizona","9.95","9.95"
