draft_year,position,rank,name,school,year_class,height,weight,hometown,birthday,age,jersey,strengths,weaknesses,summary,grade,c_ht,c_wt,c_arm,c_hand,c_wing,c_40,c_20,c_10,c_vj,c_bj,c_ss,c_3c,c_bp,c_notes,pd_ht,pd_wt,pd_arm,pd_hand,pd_wing,pd_40,pd_20,pd_10,pd_vj,pd_bj,pd_ss,pd_3c,pd_bp,pd_notes
2019,QB,1,DWAYNE HASKINS,Ohio State,rSO,6033,231,"Potomac, Md. (Bullis School)",5/3/1997,21.99,7,"Special arm talent…long-levered, but has an efficient load-and-fire release with the ball exploding off his hand…unforced velocity to drive the ball to every inch of the field…throws receivers open with a natural feel for accuracy…large-framed, sturdy passer…sees the entire field and stands tall in the pocket to allow routes to develop…comfortable making high-to-low reads, resetting his eyes on the move…productive on throws 20-plus yards (45.6 percent completions, 14 touchdowns, one interception)…plays poised and confident, showing improved reaction to pressure as the season progressed…at his best in high-pressure situations, completing 71.4 percent of passes with 12.3 yards per attempt, four touchdown passes and zero interceptions in one-score situations in the fourth quarter…not a nimble athlete, but coordinated with his pocket movements…able to fire strikes on the move without sacrificing placement…remarkable production in 2018, becoming only the sixth FBS player to throw for 50 touchdowns in a single-season – his 54 career touchdown passes ranks fourth-best in Ohio State history.","Outstanding fastball, but needs improved touch on layered throws to put the ball between levels of the defense…busy lower body, often throwing with a wide base or flat feet…bad habit of abandoning his base instead of stepping into the rush…pocket presence showed steady improvement, but he is still on the ground level…long, lean lower body, which works against him when attempting to evade pocket pressure…not a graceful scrambler and lacks creative mobility…guilty of staring down targets, forecasting throws to defenders with his big body and eyes…timing as a passer lacks sophistication, dumping it off too quickly or holding the ball too long…doesn’t break tackles and not a powerful finisher like his size suggests (more likely to brace for contact than lower his pads into contact)…only one season of starting experience.","A one-year starter at Ohio State, Haskins was a questionable fit in the Buckeyes’ shotgun, option-heavy offense, but that didn’t slow his production. During his prolific 2018 season, he broke 28 school records and set seven Big Ten records, including single-season passing yards (4,831), touchdown passes (50) and total offensive yards (4,939). Haskins makes playing quarterback look easy because he is so naturally gifted, but his inexperience also shows. While he showed improvements climbing the pocket, maneuvering vs. pressure isn’t yet a strength to his game with inconsistent results throwing off-script. He has a plus arm to grip- and-rip, but he tends to telegraph throws, believing too much in his arm to compensate. His placement and touch have room for improvement, but his passing accuracy is a strength (off-target throws usually tied to messy footwork). Overall, Haskins’ pocket rhythm and lower body mechanics are the biggest concerns for his next level transition, but he showed promising improvement and his special arm has the potential to carve up pro defenses, projecting as an NFL starter with Pro Bowl upside.",1st Round (#15 overall),6033,231,33 1/2,09 5/8,79 1/2,5.04,2.90,1.75,28 1/2,-,-,-,-,"no broad, shuttle or 3-cone – choice",N/A,,,,,,,,,,,,,stood on Combine numbers; positional drills only
2019,QB,2,KYLER MURRAY,Oklahoma,rJR,5101,207,"Allen, Texas (Allen)",8/7/1997,21.73,1,"Boasts a whip of an arm with the velocity to deliver lasers…quick release, using various arm angles…naturally accurate, regardless if throwing with a firm base or off-platform…throws a catchable ball and his passes arrive with touch…on-target deep ball, dropping the ball over coverage and in the bucket…dynamic athlete with instant speed…sudden feet in the pocket to elude rushers…patient behind the line of scrimmage with innate instincts to sense pressure, falling back on his athleticism only when necessary…confident competitor and small window throws don’t intimidate him…incredibly productive 2018 season, leading the nation in total yards (school record 5,362), points responsible (342), yards per completion (16.8) and yards per pass attempt (FBS record 11.6).","Undersized – short and lacks ideal bulk on his frame…stares down receivers and needs to be quicker eliminating things mid-read…inefficient progressions disrupt route timing…doesn’t always locate all 11 defenders…ball placement is above-average, but there is room for improvement (throwing to the correct shoulder, away from trouble, etc.)…holds the ball like a briefcase when scrambling and ball security needs improvement…unproven bouncing back from physical hits and durability concerns will always be there due to his size and lack of body armor…needs to prove that he has the maturity for the NFL – suspended the opening drive vs. Baylor (September 2018) for being late to practice…baseball will always be a fallback option for him…only one season of high-level production.","A one-year starter at Oklahoma, Murray had a rough start to his college football career at Texas A&M and all signs pointed to him playing professional baseball, but he put together a special 2018 season for the Sooners. He became the first FBS player to average at least 300 passing yards (311.5) and 60 rushing yards (71.5) per game for a full season, joining Clemson’s Deshaun Watson as the only players to ever record at least 4,000 passing yards and 1,000 rushing yards in a season. In the Sooners zone-read scheme, Murray was primarily in shotgun/pistol and benefited from the best offensive line in college football. There is no question that he is a pass-first quarterback, but his speed creates problems for the defense and he is ideally suited for an offense willing to incorporate a high percentage of sprints, boots and option plays. Regardless if throwing on the move or with an established base, Murray has an organic feel for using ball speeds to put the pass on his target, showing above-average velocity and accuracy. With only one season of production (in a conference with below-average defensive talent), he is still developing mentally with his reads/timing and his lack of size will always be a concern. Overall, Murray, who is incredibly unique with a skill-set unlike anything currently in the NFL, has the arm talent and playmaking instincts that translate to any level, projecting as an NFL starter.",1st Round (#16 overall),5101,207,28 1/2,09 1/2,69 1/2,-,-,-,-,-,-,-,-,no workout – choice,N/A,,,,,,,,,,,,,positional drills only
2019,QB,3,DREW LOCK,Missouri,SR,6036,228,"Lee’s Summit, Mo. (Lee’s Summit)",11/10/1996,22.47,3,"Blessed with a golden arm and easy velocity…football explodes coming out of his hand with a quick, compact release…easily adjusts his arm angles without sacrificing ball speed…coordinated, quick-footed athlete, using his mobility to move the pocket or pick up chunk yards…NFL frame with room to add more bulk…timing/patience to allow routes to develop…trusts his arm talent to make tight-window and “faith” throws…matured football intelligence and hunger for the game…three-year team captain and handles himself with a calm, commanding presence…productive resume and starting experience.","Inconsistent intermediate touch and downfield accuracy…quick to abandon his mechanics and rely on his arm to compensate, leading to erratic placement…cluttered footwork under pressure, often backpedaling to evade…locks onto his preferred target and needs to mature his eye use and vision…too willing to test heavy coverage, making it tough to trust his decision-making…effectiveness plummets when the design of the play breaks down and doesn’t fully use his athleticism to extend plays…small hands and ball security needs to improve when scrambling, as he holds the football away from his body like a dirty diaper (six fumbles in 2018)…owns a 21-25 record (.457) as a collegiate starter, including an 11-20 record (.355) in SEC play and 1-9 record (.100) vs. ranked opponents.","A four-year starter at Missouri, Lock was a natural fit in the Tigers’ shotgun, RPO-style offense with an emphasis on vertical option routes, spending two years (2016-17) under the tutelage of Josh Heupel and one season (2018) with offensive coordinator Derek Dooley. He finished his career second in SEC history in passing yards (12,193) and third in touchdown passes (99). Very similar to Derek Carr coming out of Fresno State, Lock is a classic arm thrower who stubbornly believes that every throw is there, but is still figuring out how to use his eyes and piece together his timing. He showed expanded vision as a senior and appeared to eliminate things quicker mid-read. Overall, Lock showcases a live arm and the makeup required to be an NFL starter, but he needs to continue developing his accuracy, mechanics and decision-making to live up to his intriguing potential.",1st-2nd Round (#37 overall),6036,228,32 1/2,09,77 1/8,4.69,2.74,1.61,31,09’04”,4.12,7.03,-,,N/A,,,,,,,,,,,,,stood on Combine numbers; positional drills only
2019,QB,4,DANIEL JONES,Duke,rJR,6051,221,"Charlotte, N.C. (Charlotte Latin)",5/27/1997,21.93,17,"Tall, average-sized frame…quick trigger to read and fire…recognizes coverage assignments and finds the out…has a pre-snap plan…slightly above- average arm strength…understands placement on downfield routes (posts, corners, etc.), setting the school record with 10 career touchdown passes of 50-plus yards…places the ball where his receiver can attack and make a move (holds the Duke career record with a 26.3 completion-to-interception ratio)…not a twitchy athlete, but mobility is an asset (comfortable throwing off platform)…excellent pocket movement, stepping up and keeping his eyes elevated…stronger and tougher than he looks to brush off contact – missed only two games following left shoulder surgery (September 2018)…graduated with a degree in economics (December 2018)…two-time team captain with “impeccable character,” according to Cutcliffe.","Eye manipulation and internal clock are undeveloped…needs to find better balance between not rushing his process, but also playing with urgency…caught staring down routes, leading defenders to the target…still finding his touch as a passer…deep-ball timing is an issue, increasing the difficulty level…lacks elite arm strength to easily add extra RPMs…needs to take better care of the football…mild-mannered personality and still finding his voice as a leader…pedestrian career production with 59.6 percent completions and a 17-19 record as a starter – never earned All-ACC honors.","A three-year starter at Duke, Jones was groomed in the Blue Devils’ spread, no-huddle offense, which incorporated RPO concepts and asked him to use his legs (averaged double-digit carries per game over his 36 starts). A late bloomer, he developed under Cutcliffe’s watchful eye and it is easy to see the Manning influence with his footwork, pocket mannerisms and his release. While he doesn’t have a very impressive resume on paper, Jones elevated the average talent around him on the Duke offense, relying on both his arm and legs. His low-key personality might not immediately win over a room, but he competes with a quiet confidence and doesn’t show any fear on the football field. Overall, Jones doesn’t have any exceptional physical traits and his internal clock requires work, but he is a cerebral passer who makes accurate reads with active eyes and feet, projecting as a B-level NFL starter.",2nd Round (#53 overall),6051,221,32 1/2,09 3/4,78 1/8,4.81,2.83,1.71,33 1/2,10’00”,4.41,7.00,-,,4.71,2.63,1.62,-,-,-,-,-,,,,,,"stood on Combine jumps, shuttle, 3-cone"
2019,QB,5,WILL GRIER,West Virginia,rSR,6024,217,"Charlotte, N.C. (Davidson Day)",4/3/1995,24.08,7,Balanced steps and delivery…efficient load and fire throwing motion…good enough arm strength and throws a pretty deep ball…puts the ball in a place where his receivers can catch and run…processes things quickly to make snap decisions…nimble athlete and floats well to avoid the rush…smart scrambler and stays composed when the play breaks down…was given freedom to make checks at the line of scrimmage based on pre-snap reads…doesn’t lack for confidence and well- liked by his teammates and coaches at West Virginia…married with a family and more mature than the average prospect due to his life experiences…graduated with his degree in multidisciplinary studies (December 2017)…20-7 career record as a starter…leaves Morgantown No. 2 in school history in touchdown passes (71) and completion percentage (65.7 percent).,"Makes reckless decisions as a passer…more comfortable making reads pre-snap rather than post-snap…sloppy base mechanics, throwing on his toes and falling away from his target…lacks zip on throws that have an expiring window…keeps his eyes downfield, but often at the expense of not seeing the rush, even in his direct line of sight…holds the ball too long and takes unnecessary hits…holds the ball nonchalantly away from his body, leading to ball-security concerns…doesn’t have an ideal body type for the NFL…decision-making will be questioned following his year-long PED suspension (October 2015) for taking a banned over-the-counter supplement…older prospect and will be 24 years old on draft weekend.","A two-year starter at West Virginia, Grier was productive in Holgorsen’s version of the air-raid offense, which used up-tempo passing to set up the run. From suspension to transfer to marriage to fatherhood, Grier has experienced much more than most prospects and handled those situations well, giving NFL teams a glimpse of what type of professional he will be. He belongs in gambler’s anonymous with some of his prayers downfield, but he has a confident arm, quick feet and receiver-friendly touch. Overall, Grier struggles to identify/feel pressures and his inconsistent decision-making is a concern, but he is a natural rhythm passer and once he finds that rhythm, he can be deadly, projecting as a backup NFL quarterback worthy of competing for a starting job.",3rd-4th Round,6024,217,31 1/2,09 3/8,75 1/8,4.84,2.81,1.68,34,09’04”,4.28,7.09,-,,N/A,,,,,,,,,,,,,stood on Combine numbers; positional drills only
2019,QB,6,RYAN FINLEY,NC State,rSR,6040,213,"Phoenix, Ariz. (Paradise Valley)",12/26/1994,24.35,15,"Tall passer with an over-the-top delivery…calm in the pocket, feels the rush and makes throws while staring down the gun barrel…efficient with his reads, showing matured eye use…comfortable making accurate, layered throws between levels of the defense…anticipates well and delivers before the receiver is out [6] of his break…not a threat with his legs, but he isn’t a statue either and is comfortable making throws on the move…senior captain…led the ACC in passing in 2018 and was one of only three FBS passers with 3,800-plus passing yards and 300-plus completions…holds three academic degrees: graduated magna cum laude (3.8 GPA) from Boise State with a degree in psychology (May 2016); graduated from NC State (3.7 GPA) with his master’s in liberal studies (May 2018).","Average arm strength and lack of zip is noticeable…accuracy falls off when forced to shuffle his feet or quicken his process…bad habit of stubbornly trying to sneak throws to covered reads…often panics when asked to improvise when the play design falls apart…spotty pre-snap reads, not accounting for the blitz or running into the defense without numbers…takes too many sacks due to his lack of escapability…runs “scared” according to his coaches…pegged as “overcompetitive” by some of his teammates, which will rub some the wrong way…not considered a character risk off the field, but was arrested (April 2015) and charged with two misdemeanors for minor in possession of an alcoholic beverage and running from police…stayed healthy the past three seasons at NC State, but suffered two significant injuries at Boise State: tendinitis in his throwing (right) shoulder forced surgery (August 2013); broken right ankle (September 2015)…older prospect and will turn 25 years old as an NFL rookie.","A three-year starter at NC State, Finley split between under center and shotgun in the Wolfpack offense, which was designed to get the ball out quickly (slants, curls, etc.), setting up play action and deep opportunities. He finished his career second behind Philip Rivers in several NC State passing categories, including passing yards (10,505). Although his lack of ideal velocity is an issue, Finley delivers a catchable ball with touch and clearly has a firm grasp of the playbook. He is a confident thrower, but his chances are mostly calculated, low-risk passes. Overall, Finley has some Nick Foles to his game and projects as an NFL backup, but his average arm and lack of urgency and creativity outside of structure are concerns for his pro transition.",4th Round,6040,213,32 7/8,09 1/2,77 1/8,4.73,2.75,1.69,30 1/2,09’08”,4.20,7.20,-,,N/A,,,,,,,,,,,,,stood on Combine numbers; positional drills only
2019,QB,7,JARRETT STIDHAM,Auburn,rJR,6023,218,"Stephenville, Texas (Stephenville)",8/8/1996,22.73,8,"Well-built frame with room to get stronger…above-average arm strength…able to add RPMs to thread the needle on tight-window throws…his tape is littered with examples of correct placement throws…holds the Auburn record for consecutive pass attempts (162) without an interception…smooth, repeatable throwing mechanics…strong-striding athlete to take the yardage when it is there…outstanding finishing toughness as a runner, lowering his shoulder and driving forward…moves well in the pocket and plays with a sense of control…graduated with his bachelor’s degree (May 2018) and started work on his master’s…named a 2018 team captain, and his leadership skills grew over his time at Auburn.","Doesn’t trust his protection and allows pressure (real or imagined) to affect his decision-making…drops his eyes or eagerly gets rid of the football and would benefit from added patience to allow routes to develop…needs to better anticipate and quicken his trigger…bad habit of leading receivers too far on vertical throws…played in two college offenses that emphasized one-read plays and didn’t ask him to make whole field reads…tendency to run leads to more hits and potential injuries – played through a partially torn left (non-throwing) labrum (September 2017), which required surgery (January 2018) and limited him during spring practice; suffered a broken right ankle (November 2015) in his final game at Baylor, requiring surgery; broke his right hand (October 2014) and required surgery, missing a few games his senior year in high school.","A two-year starter at Auburn, Stidham had a productive yet uneven stint in Gus Malzahn’s spread offense, struggling this past season without Kerryon Johnson to anchor the run game. He appeared to hit his ceiling in Auburn’s elementary-level offense, which stressed tempo and quick reads over breaking down coverages and going through whole-field progressions. Stidham has workable tools with his size, arm talent and athleticism, although his mobility is negated by his frustrating internal clock, either holding the ball too long or rushing the process. His tape didn’t have as many second-chance throws as expected, which was disappointing. Overall, Stidham was clearly restricted in the Auburn offense and has the physical traits for the next level, but his slow trigger and inconsistent reaction to pressure are two concerning questions for his long-term future – one of the few legitimate developmental passers in this draft class.",4th Round,6023,218,32,09 1/8,76 1/2,4.81,2.83,1.71,31,09’02”,4.33,7.28,-,,N/A,,,,,,,,,,,,,stood on Combine numbers; positional drills only
2019,QB,8,TYREE JACKSON,Buffalo,rJR,6070,249,"Norton Shores, Mich. (Mona Shores)",11/7/1997,21.48,3,"Tall-framed passer with adequate body thickness…rocket launcher for a right arm with the power in his delivery to zip frozen ropes…effortlessly unleashes his deep ball…small windows don’t intimidate him, trusting his arm strength…throws well on the run with the mobility to efficiently run RPO-style plays or boots…improved downfield touch to drop the ball over the shoulder of his vertical receiver…graduated with his degree in social sciences (December 2018)…set a school record with 35 total touchdowns (28 passing, 7 rushing) in 2018.","Has a hose, but inconsistent direction…accuracy and touch run hot-cold, dropping the ball in the bucket one play and missing an open flat target the next…needs to develop a better feel for his change-up instead of relying on his 100 MPH fastball…straight-legged, heavy mechanics with see-saw shoulders in his delivery…his load-and-fire motion is longer than ideal…stays on his initial read too long and doesn’t anticipate passing windows…late to recognize extra pressures…not a nimble athlete and struggles to evade in the pocket…history of left knee issues (wears a brace), including a dislocated knee cap (November 2014) and a sprain (September 2017) that sidelined him four games as a sophomore.","A three-year starter at Buffalo, Jackson showed steady growth in the Bulls shotgun offense, which incorporated various RPO and spread principles. He was a substantial reason for the program’s improvement from 2-10 (2016) to 6-6 (2017) and 10-4 (2018), becoming the first player in school history to earn the MAC Offensive Player of the Year honors (despite only 55.3 percent completions). If you combined the skill-sets of Cardale Jones and Josh Allen, the result would look something like Jackson, which is both a positive and negative. His elite arm strength helps mask his tardiness, but he needs to speed up his reads and timing at the next level. Overall, Jackson has a power arm with enough impressive throws on tape that will give NFL teams optimism for his future, but there is little consistency with his placement and decision-making, projecting as a developmental project.",5th Round,6070,249,34 1/4,10 1/4,83 3/4,4.59,2.67,1.59,34 1/2,10’00”,4.28,7.09,-,,N/A,,,,,,,,,,,,,stood on Combine numbers; positional drills only
2019,QB,9,CLAYTON THORSON,Northwestern,rSR,6040,222,"Wheaton, Ill. (Wheaton North)",12/25/1995,23.35,18,"Well-put-together athlete and passes the eye test…mobility is an important part of his game…above-average arm strength, making opposite hash strikes on a rope…made whole-field progression reads in college…his tape shows examples of him holding the safety with his eyes before hitting the post or slant…accuracy numbers increased on middle-of-the-field throws (crossers, digs, etc.)…four-year starter and became the school’s all-time leading passer (10,731 yards) in his final game…durable and didn’t miss a start over his career, posting a 36-17 record as a starter.","Not an anticipatory thrower…the ball routinely leaves his hand late, allowing defenders to close on the target…doesn’t have a natural feel for accuracy downfield…ball placement needs improvement, often delivering to the wrong shoulder…decision-making needs tightening based on his coverage reads – smart individual, but must process things quicker…mobile athlete, but doesn’t have make-you-miss speed…tore the ACL in his right knee (December 2017) and required surgery; suffered a high ankle sprain in the bowl game (December 2018), which kept him from participating in the Senior Bowl and limited him throughout the pre- draft process. [8]","A four-year starter at Northwestern, Thorson won the starting job as a true freshman (replacing Trevor Siemian) and started all 53 games the last four years, despite a torn ACL in the 2017 bowl game (shared snaps with T.J. Green in the first few games). He holds the school records for passing yards (10,731) and passing touchdowns (61). Thorson is a balanced passer with smooth footwork and the arm to unleash impressive throws, but he needs to improve his downfield placement and decision-making to live up to his potential. While he is comfortable “dotting the i” with his fastball, he doesn’t show the same timing or touch on layered throws. Overall, Thorson projects similar to a Jeff Driskel type of NFL prospect: good-sized athlete with a strong arm and intangibles, but inconsistent reads and erratic accuracy project him as more of a journeyman NFL quarterback.",5th-6th Round,6040,222,31 1/8,09 3/4,76 1/2,-,-,-,-,-,-,-,-,"no runs, jumps or 3-cone – ankle sprain",N/A,,,,,,,,,,,,,positional drills only
2019,QB,10,GARDNER MINSHEW,Washington State,SR,6007,225,"Brandon, Miss. (Brandon)",5/16/1996,22.96,16,"Natural, quick mechanics from his footwork to his delivery…disciplined eyes, sees the whole field and processes things quickly…accurate within the WSU offense and always aware of his outlets…large hands to grip and get the ball out quickly…calm demeanor and plays with efficient rhythm…comfortable throwing from a confined pocket, but also able to reset and find second-chance throws…engineered three fourth-quarter game-winning drives in 2018…charismatic and his best traits are his “presence” and “leadership qualities,” according to Leach…graduated with his degree in communications (December 2017) at East Carolina…awesome production in 2018, leading the FBS in passing yards per game (367.6) and finishing third in completion percentage (70.7).","Pressure will disrupt his placement and timing…can make all the throws, but doesn’t have a power arm…mechanics tend to break down off platform, throwing off his accuracy…shined in a simplified spread system that emphasized quick reads and shorter routes (ranked 67th in the FBS with 7.22 yards per pass attempt in 2018)…learning a full playbook and verbiage will take time in the NFL…shorter than ideal…only one season as a full-time starter and impressive production.","A one-year starter at Washington State, Minshew thrived in Leach’s air-raid, pass-happy offense, setting school and conference records for passing yards (4,779) and completions (468) in a season. The “one-year wonder” label is unavoidable after his shaky stint at East Carolina and gaudy production in a system known for boosting stats. But Minshew has translatable traits with his passing mechanics, natural accuracy and makeup, bringing out the best in his team with his magnetic, confident personality (NFL scout: “He has some Baker Mayfield to him with his size and energy”). Outside of the WSU offense, had a strong week at the Senior Bowl, showing quick reaction time to read and know where to attack. Overall, there are reasons to doubt him due to his average physical traits and lack of production outside of Leach’s system, but Minshew has the requisite passing skills and competitive mentality to earn an NFL roster spot as a reserve.",6th-7th Round,6007,225,31 3/4,10 1/8,74 3/8,4.97,2.85,1.67,33 1/2,09’08”,4.45,7.14,-,,N/A,,,,,,,,,,,,,stood on Combine numbers; positional drills only
