player_name,player_key,team,position,headshot_url
Calvin Moore,calvin moore,Cal Poly,CB,https://a.espncdn.com/i/headshots/college-football/players/full/184812.png
Josh Jenkins,josh jenkins,Holy Cross,QB,https://a.espncdn.com/i/headshots/college-football/players/full/233186.png
Marcus Patterson,marcus patterson,Kennesaw State,DL,https://a.espncdn.com/i/headshots/college-football/players/full/245322.png
Jacob Johnson,jacob johnson,Samford,LB,https://a.espncdn.com/i/headshots/college-football/players/full/385738.png
Jay Williams,jay williams,Alabama,LS,https://a.espncdn.com/i/headshots/college-football/players/full/504059.png
Austin Brown,austin brown,Charleston Southern,CB,https://a.espncdn.com/i/headshots/college-football/players/full/518239.png
Jordan Brown,jordan brown,Fresno State,WR,https://a.espncdn.com/i/headshots/college-football/players/full/550577.png
Chris Smith,chris smith,Temple,OL,https://a.espncdn.com/i/headshots/college-football/players/full/552356.png
Jack Ryder,jack ryder,Villanova,QB,https://a.espncdn.com/i/headshots/college-football/players/full/553348.png
Eric Jones,eric jones,Elon,DB,https://a.espncdn.com/i/headshots/college-football/players/full/560158.png
Daniel King,daniel king,Southern Utah,PK,https://a.espncdn.com/i/headshots/college-football/players/full/560242.png
Joshua Robinson,joshua robinson,Lindenwood,OL,https://a.espncdn.com/i/headshots/college-football/players/full/560263.png
Gavin Brooks,gavin brooks,Gardner-Webb,OL,https://a.espncdn.com/i/headshots/college-football/players/full/560264.png
Kwasie Kwaku Jr.,kwasie kwaku jr,Bethune-Cookman,S,https://a.espncdn.com/i/headshots/college-football/players/full/560268.png
Jamaal Dinkins,jamaal dinkins,Alabama A&M,OL,https://a.espncdn.com/i/headshots/college-football/players/full/2026848.png
Michael Dansby,michael dansby,Arizona,DB,https://a.espncdn.com/i/headshots/college-football/players/full/2094390.png
Monte Harrison,monte harrison,Arkansas,WR,https://a.espncdn.com/i/headshots/college-football/players/full/3116099.png
Jordan Jackson,jordan jackson,Arkansas-Pine Bluff,WR,https://a.espncdn.com/i/headshots/college-football/players/full/3149911.png
Jordan Thomas,jordan thomas,The Citadel,RB,https://a.espncdn.com/i/headshots/college-football/players/full/3911683.png
AJ Williams,aj williams,Austin Peay,OL,https://a.espncdn.com/i/headshots/college-football/players/full/3927082.png
Jordan Franklin,jordan franklin,South Carolina State,NA,https://a.espncdn.com/i/headshots/college-football/players/full/3928375.png
Josiah Graham,josiah graham,Monmouth,DL,https://a.espncdn.com/i/headshots/college-football/players/full/3941258.png
Jake Taylor,jake taylor,Duke,TE,https://a.espncdn.com/i/headshots/college-football/players/full/3949586.png
Jake Helms,jake helms,Air Force,LS,https://a.espncdn.com/i/headshots/college-football/players/full/4032497.png
Alex Smith,alex smith,Georgia Southern,P,https://a.espncdn.com/i/headshots/college-football/players/full/4036672.png
Marquez Stevenson,marquez stevenson,Texas Tech,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4039307.png
Chris Tooley III,chris tooley iii,Florida Atlantic,CB,https://a.espncdn.com/i/headshots/college-football/players/full/4040767.png
Bam Smith,bam smith,Tarleton State,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4053898.png
Kordell Rodgers,kordell rodgers,Texas Southern,TE,https://a.espncdn.com/i/headshots/college-football/players/full/4241676.png
Aliki Vimahi,aliki vimahi,Utah,DT,https://a.espncdn.com/i/headshots/college-football/players/full/4243265.png
Marcel Williams,marcel williams,Akron,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4244849.png
Cam Wilson,cam wilson,Illinois State,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4248034.png
Michael Davis,michael davis,Morehead State,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4249886.png
Will Whitson,will whitson,Mississippi State,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4251322.png
Hunter Smith,hunter smith,Temple,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4258419.png
Luke Dalton,luke dalton,Ball State,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4356017.png
David Reese,david reese,Syracuse,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4360303.png
Reuben Unije,reuben unije,UCLA,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4360395.png
Brian Norris,brian norris,Florida A&M,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4360862.png
Moroni Anae,moroni anae,Utah,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4361000.png
Sterling Galban,sterling galban,East Tennessee State,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4362188.png
John Scott III,john scott iii,Fordham,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4362190.png
Jalynn Williams,jalynn williams,Pittsburgh,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4362263.png
Brendon Harris,brendon harris,Middle Tennessee,S,https://a.espncdn.com/i/headshots/college-football/players/full/4362791.png
Davion Ross,davion ross,Idaho State,S,https://a.espncdn.com/i/headshots/college-football/players/full/4365814.png
Solomon Vanhorse,solomon vanhorse,Indiana,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4366640.png
Dathan Hickey,dathan hickey,Youngstown State,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4368038.png
Solomon Tuliaupupu,solomon tuliaupupu,Montana,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4374313.png
Tyler Brown,tyler brown,Clemson,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4379471.png
Zach Lewis,zach lewis,North Dakota,S,https://a.espncdn.com/i/headshots/college-football/players/full/4379523.png
Chinonso Opara,chinonso opara,Tennessee Tech,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4380436.png
John Emery Jr.,john emery jr,UTSA,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4426333.png
Makiya Tongue,makiya tongue,Oregon State,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4426382.png
Shammond Cooper,shammond cooper,Akron,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4426415.png
Jacob Zeno,jacob zeno,Texas A&M,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4426417.png
Briton Allen,briton allen,Miami,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4426453.png
Jackson Lowe,jackson lowe,Incarnate Word,TE,https://a.espncdn.com/i/headshots/college-football/players/full/4426460.png
Langston Anderson,langston anderson,Abilene Christian,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4426568.png
Myles Bell,myles bell,UAlbany,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4426666.png
Matthew Bedford,matthew bedford,Oregon,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4426670.png
