"","player","Position","date_signed","contract_type","APY","Years","draft_year","rank_on_date_APY","contract_num"
"1","Thomas Hennessy","LS",2017-05-14,"UDFA",555000,3,2017,21,2
"2","Nigel Tribune","CB",2017-06-01,"SFA",510000,2,2017,244,2
"3","Erik Austell","C",2017-06-09,"SFA",510000,2,2017,75,2
"4","Reggie Porter","CB",2017-07-21,"SFA",465000,1,2017,265,2
"5","Caleb Kidder","EDGE",2017-07-27,"SFA",465000,1,2017,218,2
"6","Rob Wheelwright","WR",2017-08-01,"SFA",465000,1,2017,314,2
"7","Shaq Hill","WR",2017-08-02,"SFA",510000,2,2017,297,2
"8","Steven Wroblewski","TE",2017-08-05,"SFA",510000,2,2017,162,2
"9","Emanuel Byrd","TE",2017-08-05,"SFA",465000,1,2017,167,2
"10","Kwayde Miller","LT",2017-08-05,"SFA",465000,1,2017,81,2
"11","Brandon Radcliff","RB",2017-08-06,"SFA",510000,2,2017,178,2
"12","Cameron Posey","WR",2017-08-07,"SFA",465000,1,2017,315,2
"13","Lucas Crowley","C",2017-08-08,"SFA",465000,1,2017,77,2
"14","Dejaun Butler","CB",2017-08-16,"SFA",510000,2,2017,267,2
"15","Justin Thomas","WR",2017-08-23,"SFA",465000,1,2017,326,2
"16","C.J. Germany","WR",2017-08-23,"SFA",465000,1,2017,326,2
"17","Jahad Thomas","RB",2017-08-24,"SFA",465000,1,2017,185,2
"18","Karel Hamilton","WR",2017-08-25,"SFA",510000,2,2017,308,2
"19","Daniel Gray","CB",2017-08-28,"SFA",465000,1,2017,279,2
"20","De'Mard Llorens","RB",2017-08-29,"SFA",510000,2,2017,180,2
"21","Jake Elliott","K",2017-09-03,"Practice",122400,1,2017,44,2
"22","DeAngelo Yancey","WR",2017-09-03,"Practice",122400,1,2017,355,2
"23","Nate Gerry","LB",2017-09-03,"Practice",465000,1,2017,277,2
"24","Michael Tyson","S",2017-09-03,"Practice",122400,1,2017,212,2
"25","Adam Bisnowaty","LT",2017-09-03,"Practice",340000,1,2017,88,2
"26","Sam Rogers","FB",2017-09-03,"Practice",122400,1,2017,35,2
"27","Brandon Wilson","S",2017-09-03,"Practice",122400,1,2017,212,2
"28","Robert Davis","WR",2017-09-03,"Practice",122400,1,2017,355,2
"29","Kofi Amichia","C",2017-09-03,"Practice",122400,1,2017,86,2
"30","Marquez White","CB",2017-09-03,"Practice",122400,1,2017,297,2
"31","Leon McQuay III","S",2017-09-03,"Practice",122400,1,2017,212,2
"32","Ifeadi Odenigbo","EDGE",2017-09-03,"Practice",122400,1,2017,241,2
"33","Elijah Lee","LB",2017-09-03,"Practice",139400,1,2017,293,2
"34","Elijah Hood","RB",2017-09-03,"Practice",122400,1,2017,193,2
"35","Pat O'Connor","EDGE",2017-09-03,"Practice",122400,1,2017,241,2
"36","Garrett Sickels","EDGE",2017-09-03,"Practice",122400,1,2017,241,2
"37","Phillip Walker","QB",2017-09-03,"Practice",122400,1,2017,118,2
"38","Nick Mullens","QB",2017-09-03,"Practice",122400,1,2017,118,2
"39","Omarius Bryant","DE",2017-09-03,"Practice",122400,1,2017,99,2
"40","Amba Etta-Tawo","WR",2017-09-03,"Practice",122400,1,2017,355,2
"41","Levonte Whitfield","WR",2017-09-03,"Practice",122400,1,2017,355,2
"42","Evan Baylis","TE",2017-09-03,"Practice",122400,1,2017,185,2
"43","Riley McCarron","WR",2017-09-03,"Practice",122400,1,2017,355,2
"44","Gimel President","EDGE",2017-09-03,"Practice",122400,1,2017,241,2
"45","Daniel Ross","DT",2017-09-03,"Practice",122400,1,2017,155,2
"46","Fred Brown","WR",2017-09-03,"Practice",122400,1,2017,355,2
"47","Alex Gray","TE",2017-09-03,"Practice",122400,1,2017,185,2
"48","Lance Lenoir","TE",2017-09-03,"Practice",122400,1,2017,185,2
"49","Michael Dunn","LT",2017-09-03,"Practice",122400,1,2017,90,2
"50","Eric Nzeocha","LB",2017-09-03,"Practice",122400,1,2017,294,2
"51","Whitney Richardson","DE",2017-09-03,"Practice",122400,1,2017,99,2
"52","Devine Redding","RB",2017-09-03,"Practice",122400,1,2017,193,2
"53","Dorian Johnson","RG",2017-09-04,"Practice",122400,1,2017,71,2
"54","Jeremy McNichols","RB",2017-09-04,"Practice",170000,1,2017,189,2
"55","David Moore","WR",2017-09-04,"Practice",122400,1,2017,352,2
"56","Khalfani Muhammad","RB",2017-09-04,"Practice",170000,1,2017,189,2
"57","Cameron Lee","RG",2017-09-04,"Practice",122400,1,2017,71,2
"58","JoJo Natson","WR",2017-09-04,"Practice",170000,1,2017,345,2
"59","Austin Calitro","LB",2017-09-04,"Practice",122400,1,2017,293,2
"60","Carroll Phillips","EDGE",2017-09-04,"Practice",122400,1,2017,235,2
"61","Alex Armah","FB",2017-09-05,"Practice",122400,1,2017,34,2
"62","Justin Hardee","WR",2017-09-07,"Practice",122400,1,2017,345,2
"63","B.J. Bello","LB",2017-09-08,"SFA",510000,2,2017,270,2
"64","Kai Nacua","S",2017-09-08,"SFA",510000,2,2017,200,2
"65","Damore'ea Stringfellow","WR",2017-09-08,"Practice",122400,1,2017,344,2
"66","Dee Virgin","CB",2017-09-08,"Practice",122400,1,2017,293,2
"67","Storm Norton","RT",2017-09-09,"SFA",465000,1,2017,72,2
"68","Tyrique Jarrett","DT",2017-09-11,"SFA",555000,3,2017,114,2
"69","Malachi Dupre","WR",2017-09-12,"Practice",122400,1,2017,346,2
"70","Tanner Gentry","WR",2017-09-12,"SFA",510000,2,2017,298,2
"71","Josh Rounds","RB",2017-09-12,"Practice",122400,1,2017,192,2
"72","Ryan Lewis","CB",2017-09-13,"Practice",465000,1,2017,271,2
"73","Brian Brown","WR",2017-09-13,"Practice",122400,1,2017,343,2
"74","Rickey Hatley","DE",2017-09-13,"Practice",122400,1,2017,95,2
"75","J.J. Dielman","C",2017-09-14,"Practice",122400,1,2017,86,2
"76","Bucky Hodges","TE",2017-09-15,"Practice",122400,1,2017,176,2
"77","Isaac Rochell","DE",2017-09-15,"Practice",122400,1,2017,94,2
"78","Harrison Butker","K",2017-09-15,"Practice",122400,1,2017,45,2
"79","Michael Davis","CB",2017-09-16,"SFA",555000,3,2017,198,2
"80","Kyle Sloter","QB",2017-09-16,"SFA",555000,3,2017,93,2
"81","David Rivers","CB",2017-09-19,"Practice",122400,1,2017,294,2
"82","Greg Ward","WR",2017-09-19,"Practice",144500,1,2017,342,2
"83","Joseph Jones","LB",2017-09-19,"Practice",122400,1,2017,292,2
"84","Brad Seaton","RT",2017-09-20,"SFA",122400,1,2017,74,2
"85","Jack Tocho","CB",2017-09-20,"Practice",122400,1,2017,293,2
"86","Zach Pascal","WR",2017-09-20,"SFA",555000,3,2017,204,2
"87","Jarron Jones","DT",2017-09-20,"Practice",122400,1,2017,154,2
"88","Alex Barrett","EDGE",2017-09-22,"Practice",144500,1,2017,234,2
"89","Arthur Maulet","CB",2017-09-23,"SFA",465000,1,2017,269,2
"90","Ricky Seals-Jones","TE",2017-09-25,"SFA",510000,2,2017,156,2
"91","Jamal Perry","CB",2017-09-25,"Practice",170000,1,2017,289,2
"92","Dan Skipper","LT",2017-09-25,"Practice",122400,1,2017,86,2
"93","Krishawn Hogan","WR",2017-09-26,"SFA",510000,2,2017,297,2
"94","Bug Howard","WR",2017-09-26,"Practice",122400,1,2017,349,2
"95","Matt Galambos","LB",2017-09-26,"Practice",122400,1,2017,294,2
"96","Reggie Davis","WR",2017-09-26,"Practice",122400,1,2017,349,2
"97","Channing Stribling","CB",2017-09-27,"Practice",122400,1,2017,291,2
"98","Chris Thompson","WR",2017-09-27,"SFA",555000,3,2017,204,2
"99","Bryan Cox Jr.","EDGE",2017-09-30,"SFA",510000,2,2017,211,2
"100","Hardy Nickerson","LB",2017-09-30,"Practice",122400,1,2017,297,2
"101","Shane Smith","RB",2017-09-30,"Practice",122400,1,2017,186,2
"102","Jerry Ugokwe","RT",2017-10-03,"Practice",122400,1,2017,74,2
"103","Zeek Bigger","LB",2017-10-03,"Practice",122400,1,2017,298,2
"104","Rashard Davis","WR",2017-10-04,"Practice",122400,1,2017,347,2
"105","Josh Carraway","EDGE",2017-10-05,"Practice",170000,1,2017,232,2
"106","Greg Mabin","CB",2017-10-07,"SFA",465000,1,2017,270,2
"107","Travis Rudolph","WR",2017-10-09,"SFA",510000,2,2017,296,2
"108","Andrew Wylie","LT",2017-10-09,"Practice",122400,1,2017,86,2
"109","Derrick Nelson","C",2017-10-10,"Practice",122400,1,2017,84,2
"110","Dieugot Joseph","LT",2017-10-12,"Practice",255000,1,2017,84,2
"111","Kyle Kalis","LG",2017-10-14,"SFA",510000,2,2017,73,2
"112","Cole Hikutini","TE",2017-10-14,"SFA",510000,2,2017,152,2
"113","Xavier Coleman","CB",2017-10-14,"SFA",510000,2,2017,258,2
"114","Marcus Kemp","WR",2017-10-14,"SFA",465000,1,2017,318,2
"115","Peli Anau","DE",2017-10-16,"Practice",122400,1,2017,90,2
"116","Brian Hill","RB",2017-10-17,"Practice",122400,1,2017,185,2
"117","Joey Ivie","DT",2017-10-17,"Practice",122400,1,2017,158,2
"118","Scott Orndoff","TE",2017-10-17,"Practice",122400,1,2017,172,2
"119","Charlie Miller","S",2017-10-17,"Practice",122400,1,2017,210,2
"120","Tim Patrick","WR",2017-10-20,"Practice",122400,1,2017,348,2
"121","Jerrol Garcia-Williams","LB",2017-10-21,"SFA",465000,1,2017,280,2
"122","Elijah Wilkinson","RT",2017-10-21,"SFA",465000,1,2017,70,2
"123","Brad Kaaya","QB",2017-10-25,"Practice",255000,1,2017,115,2
"124","Cameron Tom","C",2017-10-25,"SFA",510000,2,2017,73,2
"125","Jhaustin Thomas","DT",2017-10-25,"Practice",122400,1,2017,155,2
"126","Victor Salako","LT",2017-10-25,"Practice",122400,1,2017,87,2
"127","Chunky Clements","DT",2017-10-25,"Practice",122400,1,2017,155,2
"128","Blake Jarwin","TE",2017-10-26,"SFA",563867,3,2017,106,2
"129","Noble Nwachukwu","EDGE",2017-10-30,"Practice",122400,1,2017,236,2
"130","Marquavius Lewis","EDGE",2017-10-31,"Practice",122400,1,2017,238,2
"131","Rodney Adams","WR",2017-11-01,"Practice",465000,1,2017,320,2
"132","Jason Croom","TE",2017-11-01,"Practice",465000,1,2017,163,2
"133","Donatello Brown","CB",2017-11-03,"SFA",465000,1,2017,274,2
"134","Colin Thompson","TE",2017-11-07,"Practice",122400,1,2017,175,2
"135","Johnny Mundt","TE",2017-11-11,"SFA",465000,1,2017,162,2
"136","Brandon Banks","DE",2017-11-11,"SFA",465000,1,2017,88,2
"137","Josh Tupou","DT",2017-11-11,"SFA",510000,2,2017,138,2
"138","Jarell Carter","CB",2017-11-13,"Practice",122400,1,2017,294,2
"139","Colin Holba","LS",2017-11-14,"SFA",510000,2,2017,42,2
"140","Travis Averill","C",2017-11-14,"Practice",122400,1,2017,83,2
"141","Sojourn Shelton","CB",2017-11-14,"Practice",122400,1,2017,294,2
"142","Ricky Ortiz","FB",2017-11-14,"Practice",204000,1,2017,32,2
"143","Jake Eldrenkamp","",2017-11-15,"Practice",122400,1,2017,NA,2
"144","LeShun Daniels","RB",2017-11-15,"Practice",122400,1,2017,187,2
"145","Orion Stewart","S",2017-11-15,"Practice",122400,1,2017,213,2
"146","De'Veon Smith","RB",2017-11-18,"SFA",465000,1,2017,180,2
"147","Jeremy Liggins","DT",2017-11-21,"Practice",122400,1,2017,155,2
"148","Brady Sheldon","LB",2017-11-21,"Practice",122400,1,2017,307,2
"149","Carlton Agudosi","WR",2017-11-22,"SFA",510000,2,2017,298,2
"150","Marcus Sayles","CB",2017-11-22,"Practice",122400,1,2017,293,2
"151","Zach Conque","TE",2017-11-24,"Practice",170000,1,2017,170,2
"152","Steve Donatell","TE",2017-11-28,"Practice",122400,1,2017,174,2
"153","Bobo Wilson","WR",2017-11-29,"SFA",510000,2,2017,297,2
"154","Patrick Gamble","EDGE",2017-11-29,"Practice",122400,1,2017,244,2
